Title#0,"""Основы Баунсеров"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>1-ая задача: Выполните Just Attack'у Фотон Артом;<br>2-ая задача: Выполните действие оружия Photon Blades;<br>3-ая задача: Смените элемент оружия;<br>4-ая задача: Выполните Shift действие;<br>5-ая задача: Тренировка двойного прыжка;<br>6-ая задача: Боевая практика."""
SimpleExplanation#0,"""Выполните 6 заданий!"""
Training1#0,"""Выполните Just Attack PA"""
Training2#0,"""Выполните действие оружием"""
Training3#0,"""Используйте Photon Blades"""
Training4#0,"""Зарядите Foie"""
Training4_1#0,"""Атакуйте, используя Gear"""
Training4_2#0,"""Зарядите Barta, и атакуйте"""
Training5#0,"""Выполните Shift действие"""
Training6#0,"""Достигните целевой точки"""
Training7#0,"""Уничтожьте противников"""
Retry_1#0,"""1-ая задача"""
Retry_2#0,"""2-ая задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-ая задача"""
Retry_5#0,"""5-ая задача"""
Retry_6#0,"""6-ая задача"""
Retry_7#0,"""7-ая задача"""
