Title#0,"""Основы парных клинков"""
Explanation#0,"""■Это тренировочная программа.<br>――――――――――――――――――――<br>1-ая задача: Тренировка действий оружия;<br>2-ая задача: Тренировка шкалы парных клинков;<br>3-я задача: Тренировка в реальном бою.<br>※В учебных целях на время проведения<br>данной тренировки экипировка будет<br>скорректирована."""
SimpleExplanation#0,"""Выполните 3 задачи!"""
Training4_1#0,"""Блокируйте вражескую атаку с помощью парирования"""
Training4_2#0,"""Ударьте врага с помощью Step Edge"""
Training6_1#0,"""Атакуйте врагов, чтобы заполнить шкалу оружия"""
Training6_2#0,"""Используйте Connect на враге"""
Training6_3#0,"""Используйте Full Connect на враге"""
Training9_2#0,"""Разберитесь со всеми врагами!"""
Retry_1#0,"""1-ая задача"""
Retry_2#0,"""2-ая задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-ая задача"""
Retry_5#0,"""5-ая задача"""
Retry_6#0,"""6-ая задача"""
Retry_7#0,"""7-ая задача"""
Retry_8#0,"""8-ая задача"""
Retry_9#0,"""9-ая задача"""
Retry_10#0,"""10-ая задача"""
