Title#0,"""Основы Саммонера"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>1-я задача: Зарегестрируйте и<br>выберите питомца;<br>2-я задача: Используйте<br>авто атаку питомца;<br>3-я задача: Используйте Point Assist;<br>4-я задача：Боевая подготовка."""
SimpleExplanation#0,"""Выполните 4 задачи!"""
Training1#0,"""Зарегестрируйте питомца"""
Training1_1#0,"""Выберите питомца"""
Training2#0,"""Атакуйте питомцем"""
Training3#0,"""Выполните Point Assist"""
Training4#0,"""Уничтожьте противников"""
Retry_1#0,"""1-я задача"""
Retry_2#0,"""2-я задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-я задача"""
