Title#0,"""Основы Рейнджера"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>1-ая задача: Использовать Just Attack PA;<br>2-ая задача: Испрользовать Weak Bullet;<br>3-я задача: Атакуйте всех разом;<br>4-ая задача: Боевая подготовка."""
SimpleExplanation#0,"""Выполните 4 задачи!"""
Training1#0,"""Используйте Just Attack PA"""
Training2#0,"""Атакуйте в слабую точку"""
Training3#0,"""Атакуйте всех монстров одновременно"""
Training4#0,"""Уничтожьте противников"""
Retry_1#0,"""1-ая задача"""
Retry_2#0,"""2-ая задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-ая задача"""
