Title#0,"""특별 돌파 훈련 : Episode3"""
Explanation#0,"""본 임무는 VR 공간에서 실시하며<br>제한시간 내에 에어리어의 가장 깊은<br>곳의 도달을 목표로 하는 주파형<br>훈련이다. 아크스가 경험한 여러가지<br>사상으로【심원의 어둠】의 부활 시축을<br>중심으로 상징적인 장애물을 선택해<br>재구축했다. 각 능력을 최대한 끌어내<br>돌파하도록.<br>――――――――――――――――――――<br>제한 시간 / 15분"""
SimpleExplanation#0,"""각 행성에 나타난 적을 격퇴하라!"""
NpcComMsg1#0,"""곧 전송을 개시합니다.<br>최종 목표는 제한 시갠 내에<br>모든 에어리어의 완전 답파입니다."""
NpcComMsg2#0,"""이것은 VR 프로그램을 통한 훈련이지만<br>수집된 데이터를 바탕으로 난이도를<br>올린 조정이 되어 있습니다."""
NpcComMsg3#0,"""부디 방심하지  않도록.<br>그럼 건투를 빕니다."""
Area0S#0,"""백의 영역 에어리어 1"""
Area0L#0,"""행성 하루코탄 백의 영역 에어리어 1"""
Area1S#0,"""부상 시설 에어리어 2"""
Area1L#0,"""행성 워팔 부상 시설 에어리어 2"""
Area2S#0,"""괴세 구역 지하 갱도 에어리어 3"""
Area2L#0,"""행성 리리파 괴세 구역 지하 갱도 에어리어 3"""
Area3S#0,"""괴세 구역 유적 에어리어 4"""
Area3L#0,"""행성 나베리우스 괴세 구역 유적 에어리어 4"""
Area4S#0,"""????"""
Area4L#0,"""????"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
