name01#0,"""Xiera"""
11_voice_train_04001#0,"""こんにちは！<br>ここでは「フォースの基礎」に<br>ついて訓練していきましょう。"""
text02#0,"""First, let's learn about <red>Just Attacks<c>!"""
text03#0,"""通常攻撃やテクニックの後には<br>赤い円が出ます。ジャストアタックは<br>その<red>円に合わせて攻撃<c>することです！"""
text04#0,"""通常攻撃後に出る赤い円に合わせて<br>テクニックを出してみましょう！"""
text101#0,"""Task 1: <yellow>ジャストアタックでテクニックを出す"""
train_title#0,"""Task 1: <yellow>ジャストアタックでテクニックを出す"""
tut_title#0,"""テクニックについて"""
text100#0,"""・<%NormalAttack>で通常攻撃をする<br>・赤い円が表示されたタイミングで<br>\u3000<%PhotonArts>でテクニックを発動する"""
text100_3b#0,"""・<%NormalAttack>で通常攻撃をする<br>・赤い円が表示されたタイミングで<br>\u3000<%PhotonArts>もしくは<%MainPaletteC>でテクニックを発動する"""
tut_win_title#0,"""About Just Attacks"""
tut_win_text100#0,"""If you successfully perform a Just Attack, you can deal more damage than normal.<br><br><c 00ffff>When you press the attack button while the red circle appears, the next attack will become a Just Attack.<c><br><br><c 00ffff>※This applies to both Photon Arts and Techniques.<c><br><br><c ff3300>※There is no Just Attack system for pets.<c>"""
