un_061160_0010#0,"""...Чёрт!<br>Кто это такая Сива?"""
un_061160_0020#0,"""Это не правильно.<br>Мы вообще не можем использовать<br>фотоны..."""
un_061160_0030#0,"""Сенпай и друзья работают<br>так усердно, но вы не можете<br>даже поцарапать их..."""
un_061160_0040#0,"""Сенпай...<br>Я так подавлена..."""
un_061160_0050#0,"""Я ничего не могу защитить...<br>Я была совершенно бесполезна.<br>Было ли что-нибудь, что<br>я смогла сделать?.."""
un_061160_0060#0,"""Определённо смогла"""
un_061160_0070#0,"""Каждый смог"""
un_061160_0080#0,"""Спасибо, сенпай.<br>Я очень рада...<br>этим словам."""
un_061160_0090#0,"""Интересно...<br>Нет, мы сделали все, что могли.<br>Но этого все ещё было<br>не достаточно."""
un_061160_0100#0,"""...Я не сдамся.<br>Я обязательно ещё что-то<br>смогу же сделать?<br>Должно быть то,<br>что я могу сделать."""
un_061160_0110#0,"""Вместо того, чтобы следовать<br>приказам, я хочу думать и<br>смотреть своими глазами, и,<br>делать выбор, о котором<br>не пожалею."""
un_061160_0120#0,"""Моя сила может<br>быть крошечной, но...<br>Я буду сражаться изо всех сил."""
un_061160_0130#0,"""Может быть, даже небольшая<br>похвала от тебя поможет мне..."""
un_061160_0140#0,"""А, не-нет!<br>Это не так!"""
un_061160_0150#0,"""...Я-я собираюсь найти<br>что могу сделать!<br>До встречи, сенпай."""
