IncidentName#0,"""Repeler al $(0)"""
TrialBeginMsg#0,"""¡Lucha contra el $(0) dentro del límite de tiempo!"""
TrialAbstract#0,"""Repeler al $(0)"""
NpcComOnBegin#0,"""¡Los demonios se interponen en el camino...!<br>por favor, derrotalos a todos<br>y acércate al malvado pejelagarto!."""
NpcComOnSuccess#0,"""Pude sellar a el malvado pejelagarto.<br>Muchas gracias"""
NpcComOnOpenLastFence#0,"""¡Preparando de los interruptores de transferencia! ¡Asciende hacia la base cerca del malvado pejelagarto!"""
NpcComOnOuterCitadel#0,"""¡He multiplicado mi espada! ¡Aunque no puede sellarlo, puede atravesar las escamas del malvado pejelagarto!"""
NpcComOnInnerCitadel#0,"""¡Lo hemos conducido hacia el interior...! ¡Prepararemos los interruptores de transferencia! ¡Persigue al malvado pejelagarto!"""
NpcComOnBattleStartOuterCitadel#0,"""¡El malvado pejelagarto alesta en el<br>cielo!... hay cañónes en ese lugar.<br>Por favor, dispara al malvado pejelagarto con los cañónes!"""
NpcComOnSkillHp50#0,"""¡Un poderoso ataque entrante! ¡Esquivalo!"""
NpcComOnSkillHp10#0,"""¡Solo un poco más! ¡Acaba con el!"""
NpcComOnSkillHp50End#0,"""¡El malvado pejelagarto parece debilitarse! ¡Solo un poco más!..."""
NpcComOnSkillHp10End#0,"""¡Terminalo!"""
NpcComOnFirstBegin#0,"""¡Los demonios están en el camino!... Derrótalos y despeja el camino para llegar a el malvado pejelagarto."""
