IncidentName#0,"""Repeler al $(0)"""
TrialBeginMsg#0,"""¡Lucha contra el $(0) dentro del límite de tiempo!"""
TrialAbstract#0,"""Repeler al $(0)"""
NpcComOnBegin#0,"""¡Los demonios se interponen en el camino...!<br>Por favor, derrota a todos<br>y acércate al malvado dragón!."""
NpcComOnSuccess#0,"""Pude sellar el malvado dragón.<br>Muchas gracias"""
NpcComOnOpenLastFence#0,"""¡Preparación de los interruptores de transferencia! ¡Asciende hacia la base cerca del malvado dragón!"""
NpcComOnOuterCitadel#0,"""¡He duplicado mi espada! ¡Aunque no puede sellarlo, puede atravesar las escamas del malvado dragón!"""
NpcComOnInnerCitadel#0,"""¡Lo hemos conducido hacia el interior...! ¡Prepararemos los interruptores de transferencia! ¡Persigue al malvado dragón!"""
NpcComOnBattleStartOuterCitadel#0,"""¡El malvado dragón alesta en el cielo...!<br>Debe haber un cañón en ese lugar.<br>Por favor, dispara al malvado dragón con un cañón!"""
NpcComOnSkillHp50#0,"""Poderoso ataque entrante! ¡Esquivarlo!"""
NpcComOnSkillHp10#0,"""¡Solo un poco más! ¡Acaba con el!"""
NpcComOnSkillHp50End#0,"""¡El malvado dragón parece debilitarse! Solo un poco más...!"""
NpcComOnSkillHp10End#0,"""¡Terminarlo!"""
NpcComOnFirstBegin#0,"""¡Los demonios están en el camino...! Derrótalos y despeja el camino para llegar a el Dragón Malvado."""
