choice01#0,"""About Hero"""
choice02#0,"""About Hero Sword"""
choice03#0,"""About Hero Twin Machineguns"""
choice04#0,"""About Hero Talis"""
choice05#0,"""About Hero Time"""
choice06#0,"""About Weapon Switching PAs"""
choice_end#0,"""Leave"""
Title#0,"""Hero is a Successor Class that gives one person the ability to take on multiple enemies at once.<br><br>Heroes are able to equip Swords, Twin Machineguns and Talises. However, they use them in vastly different ways from how they work in the hands of any other class.<br><br><c ffff00>Sword<c><br>Fast melee swings. \""Aura Bullet\"" deals damage at medium range.<br><c ffff00>Twin Machineguns<c><br>Long-range attacks. \""Reload\"" recovers PP rapidly.<br><c ffff00>Talis<c><br>Damage-over-time PAs. \""Marker\"" allows for fast movement."""
text0002#0,"""To change to the Hero class, you must first complete a specific Client Order.<br><br>To complete this Client Order, you will need to earn a Title whose conditions are <c ffff00>getting 2 or more classes to Lv. 75 or higher<c>."""
text0003#0,"""Hero is different from other classes in a number of ways:<br><br>・Cannot set a subclass<br>(If a Quest has level restrictions that refer to your subclass, only consider the level of your main class.)<br><br>・Some potentials and Skill Rings have no effect<br>(E.g. Battle Awakening, R/Attack Advance, etc.)<br><br>・Has its own set of level cap release orders<br>・Support Partners cannot have their class set to Hero"""
Title#1,"""Hero Sword"""
text0001#1,"""When a Sword is equipped by a Hero, it performs \""Hero Sword\"" attacks and PAs instead of normal Sword attacks.<br><br>Hero Sword is notable for its high-speed, wide-range attacks.<br><br>All Hero Sword PAs have additional effects that occur when holding the PA button, such as being able to be charged, or switching to other Hero weapons automatically."""
text0002#1,"""Hero Sword's Weapon Action fires \""Aura Bullets\"", which can damage enemies and recover PP at medium range.<br><br>By holding the Weapon Action button, you can charge up and fire a more powerful Aura Bullet."""
Title#2,"""Hero Twin Machineguns"""
text0001#2,"""When Twin Machineguns are equipped by a Hero, they perform \""Hero Twin Machinegun\"" attacks and PAs instead of normal Twin Machinegun attacks.<br><br>Hero Twin Machineguns have much longer range than regular Twin Machineguns, and can fire continuously to deal a lot of damage.<br><br>Some Hero Twin Machinegun PAs automatically switch to other Hero weapons if you hold the PA button."""
text0002#2,"""Hero Twin Machineguns consume PP even when using normal attacks.<br><br>Their main way to recover PP is their Weapon Action, \""Reload\"".<br><br>You can reload for as long as you need by holding the Weapon Action button.<br><br>Also, if you Reload with Just Attack timing, you will perform a \""Just Reload\"", which recovers PP much faster than normal."""
text0003#1,"""When equipped with Hero Twin Machineguns, potentials that affect PP regeneration and PP consumption apply in the following ways.<br><br>PP regeneration potentials apply when the weapon is sheathed and when Reloading.<br><br>PP consumption potentials apply to normal attacks in addition to Photon Arts and Techniques."""
Title#3,"""Hero Talis"""
text0001#3,"""When a Talis is equipped by a Hero, it performs \""Hero Talis\"" attacks and PAs instead of normal Talis attacks.<br><br>ヒーロータリスは、従来のタリスでは<br>使用できなかったＰＡが使用できるようになり<br>タリス、ＰＡ、テクニックを組み合わせた<br>多彩な攻撃を行うことができます。<br><br>ヒーロータリスのＰＡには、<br>ＰＡ発動後にＰＡボタンを長押しすることで<br>他ヒーロー武器に自動装備切り替えを<br>行うものが存在します。"""
text0002#3,"""「ヒーロータリス」の<br>武器アクションについて説明します。<br><br>「ヒーロータリス」を装備中に<br>武器アクションボタンを長押しすると<br>狙った箇所に「マーキング」を<br>飛ばすことができます。<br><br>この「マーキング」が表示されている時に<br>再度、武器アクションボタンを押すと<br>「マーキング」の位置まで<br>高速移動することができます。"""
Title#4,"""Hero Time"""
text0001#4,"""スキル「ヒーロータイム」を使用するための<br>ギア、それがヒーローギアです。<br>スキル「ヒーロータイム」を習得することで、<br>ヒーロー武器共通のギアが追加されます。<br><br>ギアは敵を攻撃する事で増加します。<br>同じ攻撃を続けているとギアの増加量が<br>減少しますが時間経過により元に戻ります。<br><br>ギアゲージが最大まで溜まると<br>ヒーロータイムを発動できます。<br>ヒーロータイム中はギアが減少し<br>敵に攻撃を当てるほど攻撃力が上昇します。"""
text0002#4,"""スキル「ヒーロータイムフィニッシュ」は<br>ヒーロータイム中に再度スキルを発動する事で<br>フィニッシュ技を使用するクラススキルです。<br><br>ヒーロータイム中の攻撃力上昇効果が<br>適用されますがフィニッシュ技を発動した<br>時点でヒーロータイムが終了します。<br>使うタイミングを見極めましょう。<br><br>ヒーローソード<br>ヒーローＴマシンガン<br>ヒーロータリス<br>３種で異なるフィニッシュ技が発動します。"""
Title#5,"""Weapon Switching PAs"""
text0001#5,"""ヒーローの各武器種には他の武器種への<br>武器切り替えＰＡが用意されています。<br><br>武器切り替えＰＡは各武器種に用意されており<br>それぞれ別々の武器種へ切り替えられます。<br><br>武器の切り替えはＰＡ使用時に<br>ボタンを長押しすることで行われます。<br>短く押した場合は通常のＰＡと同じように<br>武器を切り替えずに使用することができます。"""
text0002#5,"""武器切り替えＰＡで武器を切り替える際<br>武器パレットに切り替え先の武器種が<br>複数セットされている場合は<br><c ffff00>昇順で最もパレット番号が近い武器種<c>が<br>切り替え対象となります。<br><br>（図ではヒーロータリスの<br>\u3000ヒーローＴマシンガンへの<br>\u3000武器切り替えＰＡを使用して<br>\u3000<c ffff00>昇順で最もパレット番号が近い<c><br>\u3000ヒーローＴマシンガンに<br>\u3000武器種を切り替えています）"""
