Kirara_01_10#0,"""ん？\u3000どうしたんだよ？<br>ふーん。パーティー参加希望、なあ……"""
11_voice_NPC_5052_104#0,"""おたくも知ってると思うけど<br>オレほどのアークスになると<br>結構忙しいんだぜ？"""
Kirara_01_30#0,"""それに、そういうのはもっと<br>面倒見のいいヤツがいいと思うぜ！<br>おたくとかな！"""
11_voice_NPC_5052_102#0,"""何がトリックオアトリートだよ。<br>お菓子をあげて、キャッキャウフフ……<br>男はな！\u3000硬派に生きんだよ！"""
sierra_020#0,"""っておたく、いつからいたわけ？<br>え、これ食っていいの？\u3000ラッキー！<br>っておい……この見た目、やばくね？"""
11_voice_NPC_5052_106#0,"""え、女の子が感想を欲しがってる？<br>仕方ねえ……オレも男だ。ままよ……！<br>……ぐはっ、ぶほっ！\u3000い、いってえ！"""
sierra_040#0,"""はぁ……はぁ……これマジすっげーや。<br>頭が強打されたみてえで、目の前に星が<br>チカチカして、口の中は鉄の味だぜ……"""
11_voice_NPC_5052_107#0,"""ま、まだあんのか……ってうめええ！<br>優しい口当たり、この弾ける果実感！<br>マジやべーよ、泣けてきたぜ……"""
11_voice_NPC_5052_106#1,"""You seem pretty reliable. Is it because you're a member of ARKS?"""
11_voice_NPC_5052_102#1,"""You look like you can handle yourself pretty well! Though, if I let out my hidden power, you'd fall to my feet!"""
11_voice_NPC_5052_102#2,"""な、なかなかやるみたいじゃん！<br>まあ、オレが隠された力を発揮すれば<br>足下にも及ばなくなるけどな！"""
11_voice_NPC_5052_100#0,"""Admitting when something is amazing is the duty of all powerful people!"""
11_voice_NPC_5052_100#1,"""Admitting when something is amazing is the duty of all powerful people!"""
11_voice_NPC_5052_100#2,"""Admitting when something is amazing is the duty of all powerful people!"""
11_voice_NPC_5052_101#0,"""Well, well. You've certainly been doing well lately, haven't you? You can speak to me in a relaxed manner."""
11_voice_NPC_5052_101#1,"""Well, well. You've certainly been doing well lately, haven't you? You can speak to me in a relaxed manner."""
11_voice_NPC_5052_101#2,"""Well, well. You've certainly been doing well lately, haven't you? You can speak to me in a relaxed manner."""
11_voice_NPC_5052_101#3,"""Well, well. You've certainly been doing well lately, haven't you? You can speak to me in a relaxed manner."""
11_voice_NPC_5052_101#4,"""Well, well. You've certainly been doing well lately, haven't you? You can speak to me in a relaxed manner."""
11_voice_NPC_5052_101#5,"""I wouldn't mind if you told people that you wound up the way you are because I was there for you. Okay?"""
11_voice_NPC_5052_101#6,"""I wouldn't mind if you told people that you wound up the way you are because I was there for you. Okay?"""
11_voice_NPC_5052_101#7,"""I wouldn't mind if you told people that you wound up the way you are because I was there for you. Okay?"""
11_voice_NPC_5052_101#8,"""どんどん活躍していってるよな。<br>もちろん、オレのおかげだよな？"""
11_voice_NPC_5052_101#9,"""相変わらず活躍しているな！<br>やっぱりオレが見込んだだけはあるぜ！"""
11_voice_NPC_5052_100#3,"""大変だったみてーだな！<br>あんまり、無茶すんなよ！"""
11_voice_NPC_5052_100#4,"""さすがおたくだな！<br>オレが見込んだだけのことはあるぜ！"""
11_voice_NPC_5052_100#5,"""よっ、復帰したみてーだな！<br>ま、おたくのことだから、オレは絶対<br>大丈夫だって思ってたぜ！"""
11_voice_NPC_5052_100#6,"""よっ、またまた忙しそうだな！<br>オレからの依頼も、暇なときに<br>見てくれよ！"""
11_voice_NPC_5052_100#7,"""よっ、またまた忙しそうだな！<br>オレからの依頼も、暇なときに<br>見てくれよ！"""
11_voice_NPC_5052_107#1,"""なんなんだよあの終の女神ってのは！<br>ありゃあちょっとオレでも荷が<br>勝ちすぎちゃってるぜ、マジでマジで！"""
