Title#0,"""Special Training: Episode 1"""
Explanation#0,"""本任務は、VR空間にて行う<br>制限時間内にエリアの最奥を目指す<br>走破型の訓練である。<br>アークスが経験した様々な事象から<br>ダークファルス【巨躯】の復活時軸を中心に<br>象徴的な障害を選んで再構築した。<br>各員の能力を最大限引き出し、突破せよ。<br>――――――――――――――――――――<br>制限時間/１５分<br>最大与ダメージ制限/９９９９９９"""
SimpleExplanation#0,"""各惑星に現れた敵を撃退せよ！"""
NpcComMsg1#0,"""それでは、これより<br>特別訓練を開始します。"""
NpcComMsg2#0,"""この訓練は、最深部のエネミー撃破<br>または制限時間の経過で達成となります。"""
NpcComMsg3#0,"""完全攻略を目指し、頑張ってください。<br>健闘を祈ります。"""
Area0S#0,"""Forest Area 1"""
Area0L#0,"""Planet Naberius Forest Area 1"""
Area1S#0,"""City Area 2"""
Area1L#0,"""ARKS Ship City Area 2"""
Area2S#0,"""Sanctum Area 3"""
Area2L#0,"""Planet Amduscia Sanctum Area 3"""
Area3S#0,"""Ruins Area 4"""
Area3L#0,"""Planet Naberius Ruins Area 4"""
Area4S#0,"""????"""
Area4L#0,"""????"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard license."""
a4#0,"""Possess a Super Hard license."""
