Title#0,"""Force Basico"""
Explanation#0,"""■訓練メニュー<br>――――――――――――――――――――<br>課題１：テクニックのジャストアタック<br>課題２：テクニックの連続ジャストアタック<br>課題３：チャージTECのジャストアタック<br>課題４：タリスの使用<br>課題５：実戦訓練"""
SimpleExplanation#0,"""Completar cinco tareas!"""
Training1#0,"""ジャストアタックＴＥＣを成功させる"""
Training2#0,"""テクニックで連続ジャストアタック"""
Training3#0,"""チャージＴＥＣでジャストアタック"""
Training4#0,"""Place a CHarged Technique With a Talis"""
Training4_1#0,"""全エネミーを同時に攻撃"""
Training5#0,"""Derrotar a Enemies"""
Retry_1#0,"""課題１"""
Retry_2#0,"""課題２"""
Retry_3#0,"""課題３"""
Retry_4#0,"""課題４"""
Retry_5#0,"""課題５"""
