Title#0,"""MISSION：始動"""
Explanation#0,"""このたび新たに開発された<br>アークスの訓練用プログラム、第一弾です。<br>森林、火山洞窟、砂漠が舞台ですが、<br>チャレンジクエストの名に相応しい<br>非常に挑戦的な難易度となっております。<br><br>初期装備や所持品は一切なく、全てが<br>現地調達となります。ご注意ください。<br>――――――――――――――――――――<br>目標/５つのミッションのクリア"""
SimpleExplanation#0,"""¡Completa 5 misiones!"""
Area0S#0,"""ミッション1"""
Area0L#0,"""ARKS Ship: Espacio virtual (Bosque) - Misión 1"""
Area1S#0,"""Misión 2"""
Area1L#0,"""ARKS Ship: Espacio virtual (Volcan) - Misión 2"""
Area2S#0,"""Misión 3"""
Area2L#0,"""ARKS Ship: Espacio virtual (Desierto) - Misión 3"""
Area3S#0,"""Misión 4"""
Area3L#0,"""ARKS Ship: Espacio virtual (Bosque) - Misión 4"""
Area4S#0,"""Misión 5"""
Area4L#0,"""ARKS Ship: Espacio virtual (Volcan) - Misión 5"""
Area5S#0,"""ミッション6"""
Area5L#0,"""ARKS Ship: Espacio virtual (Bosque) - Misión 6"""
Area6S#0,"""ミッション7"""
Area6L#0,"""ARKS Ship: Espacio virtual (Volcan) - Misión 7"""
Area7S#0,"""ミッション8"""
Area7L#0,"""ARKS Ship: Espacio virtual (Desierto) - Misión 8"""
Area8S#0,"""ミッション9"""
Area8L#0,"""ARKS Ship: Espacio virtual (Bosque) - Misión 9"""
Area9S#0,"""ミッション10"""
Area9L#0,"""ARKS Ship: Espacio virtual (Volcan) - Misión 10"""
Area10S#0,"""ミッション11"""
Area10L#0,"""ARKS Ship: Espacio virtual (Bosque) - Misión 11"""
Area11S#0,"""ミッション12"""
Area11L#0,"""ARKS Ship: Espacio virtual (Volcan) - Misión 12"""
Area12S#0,"""ミッション13"""
Area12L#0,"""ARKS Ship: Espacio virtual (Desierto) - Misión 13"""
Area13S#0,"""ミッション14"""
Area13L#0,"""ARKS Ship: Espacio virtual (Bosque) - Misión 14"""
Area14S#0,"""ミッション15"""
Area14L#0,"""ARKS Ship: Espacio virtual (Volcan) - Misión 15"""
Area15S#0,"""ミッション16"""
Area15L#0,"""ARKS Ship: Espacio virtual (Bosque) - Misión 16"""
Area16S#0,"""ミッション17"""
Area16L#0,"""ARKS Ship: Espacio virtual (Volcan) - Misión 17"""
Area17S#0,"""ミッション18"""
Area17L#0,"""ARKS Ship: Espacio virtual (Desierto) - Misión 18"""
Area18S#0,"""ミッション19"""
Area18L#0,"""ARKS Ship: Espacio virtual (Bosque) - Misión 19"""
Area19S#0,"""ミッション20"""
Area19L#0,"""ARKS Ship: Espacio virtual (Volcan) - Misión 20"""
Area20S#0,"""Área de Descanso 1"""
Area20L#0,"""ARKS Ship - Espacio virtual (Desierto) - Área de descanso 1"""
Area21S#0,"""Área de Descanso 2"""
Area21L#0,"""ARKS Ship - Espacio virtual (Volcan) - Área de descanso 2"""
Area22S#0,"""Área de Descanso 3"""
Area22L#0,"""ARKS Ship - Espacio virtual (Bosque) - Área de descanso 3"""
Area23S#0,"""Área de Descanso 4"""
Area23L#0,"""ARKS Ship - Espacio virtual (Desierto) - Área de descanso 4"""
Area24S#0,"""Área de Descanso 5"""
Area24L#0,"""ARKS Ship - Espacio virtual (Volcan) - Área de descanso 5"""
Area25S#0,"""Área de Descanso 6"""
Area25L#0,"""ARKS Ship - Espacio virtual (Bosque) - Área de descanso 6"""
Area26S#0,"""Área de Descanso 7"""
Area26L#0,"""ARKS Ship - Espacio virtual (Desierto) - Área de descanso 7"""
Area27S#0,"""Área de Descanso 8"""
Area27L#0,"""ARKS Ship - Espacio virtual (Volcan) - Área de descanso 8"""
Area28S#0,"""Área de Descanso 9"""
Area28L#0,"""ARKS Ship - Espacio virtual (Bosque) - Área de descanso 9"""
Area29S#0,"""Área de Descanso 10"""
Area29L#0,"""ARKS Ship - Espacio virtual (Desierto) - Área de descanso 10"""
Area30S#0,"""Área de Descanso 11"""
Area30L#0,"""ARKS Ship - Espacio virtual (Volcan) - Área de descanso 11"""
Area31S#0,"""Área de Descanso 12"""
Area31L#0,"""ARKS Ship - Espacio virtual (Bosque) - Área de descanso 12"""
NpcComMsg1#0,"""El challenge comensara en breve. Por favor completa las 5 misiones antes de que tu energia VR se agote."""
NpcComMsg2#0,"""各種携行品も現地調達となります。<br>厳しい訓練となりますが、臨機応変に<br>対処してください。健闘を祈ります。"""
UIQuestTargetOutlineSecond#0,"""¡Completa 10 misiones!"""
UIQuestTargetDetailSecond#0,"""¡Completa 10 misiones antes<br>de que tu energia VR se agote!"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 I shall guide you through misión 1. Begin al derrotar the nearby hostiles to secure weapons and a route forward."""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 ミッション２からは詳細なナビゲートを<br>行いませんので、自身の力で乗り切って<br>ください。それではご武運を。"""
NPCArea2#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション３です。<br>しっかりと休憩はできましたか？<br>そろそろ難易度が上がってきますよ。"""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 This is misión 4. How is your VR energy looking? Ten cuidado it doesn't run out."""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 This is misión 5, the last misión. Por favor proceed with caution."""
NPCArea5#0,"""/atime2.5 /voice11_voice_navi07_018 This is misión 6. From here on out, Por favor power on through with all your might until your VR energy runs out."""
NPCArea6#0,"""/atime2.5 /voice11_voice_navi07_019 ミッション７です。<br>同じ光景だとしても、その内容が<br>同じとは限りません。ご注意を。"""
NPCArea7#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション８です。すでにお気づきかも<br>しれませんが、マップに表示されない<br>エネルギーカプセルも落ちていますよ。"""
NPCArea8#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション９です。<br>残り２ミッション。<br>もうひと踏ん張りですよ。"""
NPCArea9#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション１０です。<br>どう転んでも最後のミッションです。<br>死力を尽くして頑張ってください。"""
NPCArea10#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション１１です。<br>３週目なので難易度が更に上がります。<br>限界まで力を振り絞りましょう。"""
NPCArea11#0,"""/atime2.5 /voice11_voice_navi07_019 ミッション１２です。<br>この難易度にも耐えうる能力……<br>素晴らしいの一言につきます。"""
NPCArea12#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション１３です。<br>全力をもって最善を尽くし<br>最深部到達を目指してください。"""
NPCArea13#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション１４です。<br>最深部にだいぶ近づいて来ています。<br>３週目の、最深部に。"""
NPCArea14#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション１５です。<br>ここを越えれば３週目終了です。<br>ご武運を。"""
NPCArea15#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション１６です。<br>４週目のはじまりです。<br>更に難易度が上がりますよ。"""
