Title#0,"""Winged Border-Breaker"""
Explanation#0,"""惑星ナベリウスの壊世区域において<br>突如、世壊種だけでなく、原生種や<br>龍族、機甲種に海王種などのエネミーが<br>発生した。またその現象との関連は不明だが<br>局所的な激しい雷雨の発生と正体不明の<br>有翼型エネミーの出現も確認されている。<br>アークス各員は、至急現地に赴き<br>該当個体を調査し、必要に応じて討伐せよ。<br>――――――――――――――――――――<br>Failure: Be defeated in the final area."""
SimpleExplanation#0,"""Derrotar a culprit behind the accident!"""
NpcComMsg1#0,"""アンガ・ファンダージの反応を感知。<br>この先に出現しているようです。"""
NpcComMsg2#0,"""現在、要調査対象とされている<br>正体不明の有翼型エネミーとは<br>違いますが、放ってはおけません。"""
NpcComMsg3#0,"""この領域で確認されている異常気象の<br>原因かもしれませんし……<br>早急な撃破をお願いします。"""
NpcComMsg1#1,"""……さん！\u3000……みなさん！\u3000<br>皆さん、応答してください！<br>良かった……通じたようですね。"""
NpcComMsg2#1,"""……ここは、どこでしょう？<br>座標自体は惑星ナベリウスのまま……<br>ですが、これは？"""
NpcComMsg3#1,"""今まで起きていた異変も、この先に潜む<br>エネミーによる影響でしょうか？<br>嫌な予感がします、どうか気を付けて。"""
a1#0,"""Completa cierta orden de un cliente."""
a2#0,"""Completa cierta orden de un cliente."""
a3#0,"""Tener la Licencia Super Hard."""
a4#0,"""Tener la Licencia Super Hard."""
