Title#0,"""The Wandering Black Knight"""
Explanation#0,"""惑星ナベリウスの遺跡エリアにおいて<br>原生種をはじめとした、ありとあらゆる<br>エネミーが発生している。<br>また、局所的な異常天候も発生しており<br>その中心部には、現象の原因と思わしき<br>尋常ならざる反応が確認されている。<br>アークスは至急出撃し、現象の調査を行え。<br>――――――――――――――――――――<br>During Quest: HP Restoration Penalty<br>Fail: Certain attack occurs"""
SimpleExplanation#0,"""Defeat the culprit behind the accident!"""
NpcComMsg1#0,"""今回の任務は遺跡エリアで確認された<br>異常現象の調査が目的！<br>……なんですけど。"""
NpcComMsg2#0,"""何か暗くて不気味な雰囲気ですね……<br>亡霊とか幽霊とか、とんでもないものが<br>出てきちゃいそうな……"""
NpcComMsg3#0,"""あとあと、先遣隊の報告によると<br>レスタなどの体力回復効果の阻害が<br>確認されているそうです。気をつけて。"""
NpcComMsg1#1,"""……さん！\u3000……みなさん！\u3000<br>皆さん、聞こえますか！？<br>よかった……通信はできるようですね。"""
NpcComMsg2#1,"""それにしても、ここ、どこでしょうか？<br>惑星ナベリウスの……森林？<br>ううん、こんな座標はありえない……"""
NpcComMsg3#1,"""何かが次元を歪めている……？<br>でもそんなこと出来るような相手って<br>……とにかく、警戒してください！"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
Area2S#0,"""????"""
Area2L#0,"""????"""
