name010#0,"""Nazun"""
text010#0,"""Alright! Onto our final quiz!"""
text020#0,"""The quiz is called... How Many Are There?!"""
quiz1#0,"""<red>Count the enemies<c> that appear before you, and stand on the platform that you think is the correct answer."""
quiz01_01#0,"""How Many Are There?!"""
quiz2#0,"""How many enemies are there?! Think carefully, now!"""
quiz02_01#0,"""Count those Rappies!"""
text030#0,"""Time's up!"""
text040#0,"""And that marks the end of all quizzes."""
text041#0,"""...Oh, wait just a moment?"""
text042#0,"""What's this?! Enemies have entered the venue once again?!"""
countdown_3#0,"""3"""
countdown_2#0,"""2"""
countdown_1#0,"""1"""
line04#0,"""Start!"""
quiz00_01#0,"""N/A"""
quiz_correct#0,"""Congratulations!"""
quiz_incorrect#0,"""Bad luck..."""
quiz_select14#0,"""14"""
quiz_select15#0,"""15"""
quiz_select16#0,"""16"""
quiz_select17#0,"""17"""
quiz_select18#0,"""18"""
quiz_answer14#0,"""And the answer is...<br><red>14<c>!"""
quiz_answer15#0,"""And the answer is...<br><red>15<c>!"""
quiz_answer16#0,"""And the answer is...<br><red>16<c>!"""
quiz_answer17#0,"""And the answer is...<br><red>17<c>!"""
quiz_answer18#0,"""And the answer is...<br><red>18<c>!"""
quiz_select8#0,"""8"""
quiz_select9#0,"""9"""
quiz_select10#0,"""10"""
quiz_select11#0,"""11"""
quiz_answer8#0,"""And the answer is...<br><red>8<c>!"""
quiz_answer9#0,"""And the answer is...<br><red>9<c>!"""
quiz_answer10#0,"""And the answer is...<br><red>10<c>!"""
quiz_answer11#0,"""And the answer is...<br><red>11<c>!"""
