name010#0,"""Nazun"""
text010#0,"""...N-Now that you've defeated the enemies that appeared for some reason,<br>it's time for a multiple choice quiz!"""
text011#0,"""Of the four choices available, please stand on the platform that you think is the correct answer!"""
text020#0,"""Here is your first question... Voila!"""
text030#0,"""Stand on the platform that you think is the correct answer! Think carefully, now!"""
text040#0,"""Time's up!"""
text050#0,"""Here's your next question... Voila!"""
text060#0,"""And finally, your last question... Voila!"""
text080#0,"""That will be all for our multiple choice quiz. Let's head over to the next quiz area!"""
quiz00_01#0,"""N/A"""
quiz_correct#0,"""Congratulations!"""
quiz_incorrect#0,"""Bad luck..."""
quiz01#0,"""Question:<br><yellow>How much can an N-Grinder<br>be sold for?<c>"""
quiz01_01#0,"""How much can an N-Grinder"""
quiz01_02#0,"""be sold for?"""
quize01_select1#0,"""30 N-Meseta"""
quize01_select2#0,"""40 N-Meseta"""
quize01_select3#0,"""50 N-Meseta"""
quize01_select4#0,"""60 N-Meseta"""
quize01_answer#0,"""And the answer is...<br><red>40 N-Meseta<c>!"""
quiz02#0,"""Question:<br><yellow>Of the Kvaris Quintuplets,<br>which is the second-born?<c>"""
quiz02_01#0,"""Of the Kvaris Quintuplets,"""
quiz02_02#0,"""which is the second-born?"""
quize02_select1#0,"""Taivas"""
quize02_select2#0,"""Ilma"""
quize02_select3#0,"""Tulli"""
quize02_select4#0,"""Kukka"""
quize02_answer#0,"""And the answer is...<br><red>Tulli<c>!"""
quiz03#0,"""Question:<br><yellow>Which of these is not one of the Kvaris Quintuplets?"""
quiz03_01#0,"""Which of these is not one of the Kvaris Quintuplets?"""
quize03_select1#0,"""Leso"""
quize03_select2#0,"""Meri"""
quize03_select3#0,"""Ilma"""
quize03_select4#0,"""Kukka"""
quize03_answer#0,"""And the answer is...<br><red>Leso<c>!"""
quiz04#0,"""Question:<br><yellow>What is the name of Aina's father?"""
quiz04_01#0,"""What is the name of Aina's father?"""
quize04_select1#0,"""Garoa"""
quize04_select2#0,"""Bruder"""
quize04_select3#0,"""Crawford"""
quize04_select4#0,"""Rysas"""
quize04_answer#0,"""And the answer is...<br><red>Garoa<c>!"""
quiz5#0,"""Question:<br><yellow>Where can Blizzardium Ore<br>be obtained?"""
quiz05_01#0,"""Where can Blizzardium Ore"""
quiz05_02#0,"""be obtained?"""
quize05_select1#0,"""Mt. Ihana"""
quize05_select2#0,"""Mt. Latva"""
quize05_select3#0,"""Mt. Picott"""
quize05_select4#0,"""Mt. Magnus"""
quize05_answer#0,"""And the answer is...<br><red>Mt. Ihana<c>!"""
quiz6#0,"""Question:<br><yellow>During Stellar Grace Recovery Operation,<br>how many Stellar Graces can be recovered?"""
quiz06_01#0,"""During Stellar Grace Recovery Operation,"""
quiz06_02#0,"""how many Stellar Graces can be recovered?"""
quize06_select1#0,"""30"""
quize06_select2#0,"""10"""
quize06_select3#0,"""20"""
quize06_select4#0,"""40"""
quize06_answer#0,"""And the answer is...<br><red>30<c>!"""
quiz7#0,"""Question:<br><yellow>Of the Kvaris Quintuplets,<br>which jacket color is worn by Taivas?"""
quiz07_01#0,"""Of the Kvaris Quintuplets,"""
quiz07_02#0,"""which jacket color is worn by Taivas?"""
quize07_select1#0,"""Red"""
quize07_select2#0,"""Pink"""
quize07_select3#0,"""White"""
quize07_select4#0,"""Blue"""
quize07_answer#0,"""And the answer is...<br><red>Red<c>!"""
quiz8#0,"""Question:<br><yellow>What kind of fruit is eaten by<br>the Rappies that appear in Stia?"""
quiz08_01#0,"""What kind of fruit is eaten by"""
quiz08_02#0,"""the Rappies that appear in Stia?"""
