name010#0,"""Nazun"""
text010#0,"""เอาล่ะ ไปที่ควิซต่อไปกันเลย!"""
text020#0,"""มันมีชื่อว่า... 【 Who's That Enemy? 】"""
text030#0,"""ศัตรูจะโผล่ขึ้นมาระหว่างต้นไม้ โปรดบอกชื่อศัตรูตัวนั้น!"""
text031#0,"""โอเค เริ่มกันเลย!"""
text040#0,"""คุณคิดว่าศัตรูตัวนั้นคืออะไรเมื่อกี้? คิดให้ดีๆ นะ!"""
text050#0,"""หมดเวลา!"""
text060#0,"""นั่นคือบทสรุปของควิซ 【 Who's That Enemy? 】 ไปยังพื้นที่ควิซต่อไปกันเถอะ!"""
countdown_3#0,"""3"""
countdown_2#0,"""2"""
countdown_1#0,"""1"""
quiz00_01#0,"""N/A"""
quiz01_01#0,"""Who's That Enemy"""
quiz_correct#0,"""ขอแสดงความยินดี!"""
quiz_incorrect#0,"""โชคร้ายหน่อยนะ..."""
quiz_select_lizfir#0,"""Lizard Frey"""
quiz_select_lizice#0,"""Lizard Ice"""
quiz_select_lizthu#0,"""Lizard Thunder"""
quiz_select_sunny#0,"""Sunny"""
quiz_select_moony#0,"""Moony"""
quiz_select_ramsunny#0,"""Ramul Sunny"""
quiz_select_rumysunny#0,"""Lummy Sunny"""
quiz_select_patt#0,"""Patt"""
quiz_select_rampatt#0,"""Ramul Patt"""
quiz_select_rampatty#0,"""Ramul Pattie"""
quiz_select_flampatt#0,"""Flamm Patt"""
quiz_select_tinos#0,"""Tinos"""
quiz_select_lavatinos#0,"""Lava Tinos"""
quiz_select_sandtinos#0,"""Sand Tinos"""
quiz_select_snowtinos#0,"""Snow Tinos"""
quiz_select_gardinanlore#0,"""Guardinane Loa"""
quiz_select_gardinanwolore#0,"""Guardinane Voloa"""
quiz_select_spardanlore#0,"""Spardan A Loa"""
quiz_select_spardanwolore#0,"""Spardan A Voloa"""
quiz_select_spargunlore#0,"""Spargun Loa"""
quiz_select_spargunwolore#0,"""Spargun Voloa"""
quiz_select_signogunlore#0,"""Signo Gun Loa"""
quiz_select_signogunwolore#0,"""Signo Gun Voloa"""
quiz_select_gerogero#0,"""Kero Gero"""
quiz_select_hielgero#0,"""Heir Gero"""
quiz_select_chibetagero#0,"""Chibeta Gero"""
quiz_select_pedasword#0,"""Pedas Sword"""
quiz_select_pedasgun#0,"""Pedas Gun"""
quiz_select_gazasaxe#0,"""Gazas Axe"""
quiz_select_gazasslash#0,"""Gazas Slash"""
quiz01_answer#0,"""และคำตอบก็คือ...<br><red>Lizard Frey<c>!"""
quiz02_answer#0,"""และคำตอบก็คือ...<br><red>Lizard Ice<c>!"""
quiz03_answer#0,"""และคำตอบก็คือ...<br><red>Lizard Thunder<c>!"""
quiz04_answer#0,"""และคำตอบก็คือ...<br><red>Sunny<c>!"""
quiz05_answer#0,"""และคำตอบก็คือ...<br><red>Moony<c>!"""
quiz06_answer#0,"""และคำตอบก็คือ...<br><red>Ramul Sunny<c>!"""
quiz07_answer#0,"""และคำตอบก็คือ...<br><red>Lummy Sunny<c>!"""
quiz08_answer#0,"""และคำตอบก็คือ...<br><red>Patt<c>!"""
quiz09_answer#0,"""และคำตอบก็คือ...<br><red>Ramul Patt<c>!"""
quiz10_answer#0,"""และคำตอบก็คือ...<br><red>Ramul Pattie<c>!"""
quiz11_answer#0,"""และคำตอบก็คือ...<br><red>Flamm Patt<c>!"""
quiz12_answer#0,"""และคำตอบก็คือ...<br><red>Tinos<c>!"""
quiz13_answer#0,"""และคำตอบก็คือ...<br><red>Lava Tinos<c>!"""
quiz14_answer#0,"""และคำตอบก็คือ...<br><red>Sand Tinos<c>!"""
quiz15_answer#0,"""และคำตอบก็คือ...<br><red>Snow Tinos<c>!"""
quiz16_answer#0,"""และคำตอบก็คือ...<br><red>Guardinane Loa<c>!"""
quiz17_answer#0,"""และคำตอบก็คือ...<br><red>Guardinane Voloa<c>!"""
quiz18_answer#0,"""และคำตอบก็คือ...<br><red>Spardan A Loa<c>!"""
quiz19_answer#0,"""และคำตอบก็คือ...<br><red>Spardan A Voloa<c>!"""
quiz20_answer#0,"""และคำตอบก็คือ...<br><red>Spargun Loa<c>!"""
quiz21_answer#0,"""และคำตอบก็คือ...<br><red>Signo Gun Loa<c>!"""
quiz22_answer#0,"""และคำตอบก็คือ...<br><red>Signo Gun Voloa<c>!"""
quiz23_answer#0,"""และคำตอบก็คือ...<br><red>Kero Gero<c>!"""
quiz24_answer#0,"""และคำตอบก็คือ...<br><red>Heir Gero<c>!"""
quiz25_answer#0,"""และคำตอบก็คือ...<br><red>Chibeta Gero<c>!"""
quiz26_answer#0,"""และคำตอบก็คือ...<br><red>Pedas Sword<c>!"""
quiz27_answer#0,"""และคำตอบก็คือ...<br><red>Pedas Gun<c>!"""
quiz28_answer#0,"""และคำตอบก็คือ...<br><red>Gazas Axe<c>!"""
quiz29_answer#0,"""และคำตอบก็คือ...<br><red>Gazas Slash<c>!"""
