text01#0,"""<%me>さんは<br>『ＰＳＯ２ｅｓ』との連動は<br>もうお済みでしょうか？"""
text02#0,"""『ＰＳＯ２ｅｓ』と連動しておくと<br>経験値やアイテム、メセタなどを<br>共有することができます。"""
11_voice_NPC_5158_100#0,"""さ・ら・に！<br>『ＰＳＯ２ｅｓ』限定のアイテムが<br>手に入るチャンスもあるんですよ。"""
text04#0,"""もしプレイ環境が満たせるようでしたら<br>これを機会にぜひ『ＰＳＯ２ｅｓ』と<br>連動をしてみましょう。"""
text05#0,"""『ＰＳＯ２ｅｓ』にログインした後<br>ここでまた私に話しかけてくださいね。<br>よろしくお願いいたします。"""
text06#0,"""『ＰＳＯ２ｅｓ』と連動してみましょう！"""
text07#0,"""スマートフォンで好評サービス中の<br>『ＰＳＯ２ｅｓ』では<br>あなたのキャラクターを使って<br>どこでも気軽に『ＰＳＯ２』の世界を楽しめます。<br><br>また『ＰＳＯ２ｅｓ』には<br>『ＰＳＯ２』のプレイに役立つ<br>さまざまな便利機能がそろっています。<br>ぜひ連動して、「境界を超えるＲＰＧ」を<br>もっと楽しみましょう！"""
text08#0,"""『ＰＳＯ２ｅｓ』では、『ＰＳＯ２』で使っている<br>武器・ユニット・コスチュームなどを<br>そのまま使って冒険できます。<br><br>さらに！<br>『ＰＳＯ２ｅｓ』で手に入れたアイテムは<br>『ＰＳＯ２』にそのまま持ち込むことが可能です。"""
text09#0,"""『ＰＳＯ２ｅｓ』のクエストで獲得した経験値は、<br>『ＰＳＯ２』との「連動経験値」として扱われます。<br><br>連動経験値は、『ＰＳＯ２』にログインしたときに<br>『ＰＳＯ２ｅｓ』で経験値を得ていたのと<br>同じクラスへと適用されます。<br><br>ちょっとした空き時間で、<br>キャラクターをレベルアップしましょう！"""
text10#0,"""『ＰＳＯ２ｅｓ』では<br>『ＰＳＯ２』で所持しているマグにアイテムを与え<br>育成することができます。<br><br>外出中など『ＰＳＯ２』をプレイできないときでも<br>いつものようにマグを育てられます！"""
text11#0,"""『ＰＳＯ２ｅｓ』で<br>「プッシュ通知機能」を有効にすると、<br>『ＰＳＯ２』で緊急クエストが発生する１５分前に<br>プッシュ通知で<br>発生予告を受け取ることができます。<br><br>さらに、プレミアム期間中には<br>緊急クエストが発生する１時間前に<br>プッシュ通知を受け取ることができます。<br><br>早めの情報ゲットで、<br>緊急クエストの準備がさらにスムーズになります！"""
text12#0,"""これ以外にも、『ＰＳＯ２ｅｓ』には<br>『ＰＳＯ２』のプレイを<br>便利にする機能が盛りだくさん！<br><br>連動して、さらに広がる『ＰＳＯ２』の世界を<br>お楽しみください！"""
