name01#0,"""希爾達"""
name01#1,"""ヒルダ"""
11_voice_navi02_118#0,"""好，接下來是實戰技術，<br>來學習能在戰鬥中取得優勢的技巧吧。"""
11_voice_navi02_119#0,"""防禦就是最好的攻擊，<br>首先是閃避敵人攻擊的方法。"""
11_voice_navi02_120#0,"""來吧，這是必須熟練的技巧。<br>實際嘗試閃避看看吧。"""
text00#0,"""關於『閃避方法』"""
text01#0,"""教學<br>說明關於角色的『閃避方法』。"""
text02#0,"""按兩次同方向的移動鍵，角色就會朝移動方向閃避。<br><br>閃避動作會依裝備武器的不同而變化。"""
text03#0,"""按<%Avoid>，角色就會朝移動方向閃避。<br><br>閃避動作會依裝備武器的不同而變化。"""
text100#0,"""按兩次移動鍵來閃避！"""
text101#0,"""以<%Avoid>閃避！"""
text1000#0,"""按兩次移動鍵來閃避！"""
text1001#0,"""以<%Avoid>閃避！"""
11_voice_navi02_118#1,"""さて、ここからは実戦技術だ。<br>戦闘を有利に運ぶためのものだな。"""
11_voice_navi02_119#1,"""防御は最大の攻撃。<br>まず、エネミーからの攻撃回避方法だ。"""
11_voice_navi02_120#1,"""よし、これも習うより慣れろだ。<br>実際に避けてみせろ。"""
text00#1,"""『回避方法』について"""
text01#1,"""チュートリアル<br>キャラクターの『回避方法』について説明します。"""
text02#1,"""同じ方向の移動キーを２回押すことで、キャラクターが<br>移動方向へ回避を行います。<br><br>装備している武器により、回避アクションは変化します。"""
text03#1,"""<%Avoid>を押すことで、キャラクターが<br>移動方向へ回避を行います。<br><br>装備している武器により、回避アクションは変化します。"""
text100#1,"""移動キーを２回押して回避を行え！"""
text101#1,"""<%Avoid>で回避を行え！"""
text1000#1,"""移動キー２回押して回避を行え！"""
text1001#1,"""<%Avoid>で回避を行え！"""
