text100#0,"""關於『委託任務』"""
text101#0,"""拉薇兒有委託任務。<br><br>拉薇兒位在出發區－東任務櫃台前。"""
tutorial01#0,"""瑪露有委託任務。<br><br>瑪露位在出發區－中央大廳。"""
tutorial02#0,"""歐薩有委託任務。<br><br>歐薩位在出發區－中央大廳。"""
tutorial03#0,"""莉莎有委託任務。<br><br>莉莎位在出發區－中央大廳。"""
tutorial04#0,"""亞沙納米有委託任務。<br><br>亞沙納米位在出發區－中央大廳。"""
tutorial05#0,"""強恩有委託任務。<br><br>強恩位在商店區－南外圍道路。"""
tutorial06#0,"""蘿拉有委託任務。<br><br>蘿拉位在出發區－醫學中心。"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""ラヴェールにクライアントオーダーが発生しました。<br><br>ラヴェールはゲートエリア・東クエストカウンター前にいます。"""
tutorial01#1,"""マールーにクライアントオーダーが発生しました。<br><br>マールーはゲートエリア・中央ホールにいます。"""
tutorial02#1,"""オーザにクライアントオーダーが発生しました。<br><br>オーザはゲートエリア・中央ホールにいます。"""
tutorial03#1,"""リサにクライアントオーダーが発生しました。<br><br>リサはゲートエリア・中央ホールにいます。"""
tutorial04#1,"""アザナミにクライアントオーダーが発生しました。<br><br>アザナミはゲートエリア・中央ホールにいます。"""
tutorial05#1,"""ジャンにクライアントオーダーが発生しました。<br><br>ジャンはショップエリア・南外周通路にいます。"""
tutorial06#1,"""ローラにクライアントオーダーが発生しました。<br><br>ローラはゲートエリア・メディカルセンターにいます。"""
