un_020280_0010#0,"""真是令人目不暇給的身手。<br><%me>閣下｡"""
un_020280_0020#0,"""要不是這個時局，雷吉亞斯他們<br>也許會視你為下一代六芒均衡<br>也不一定呢。"""
un_020280_0030#0,"""不過，六芒均衡啦三英雄等人<br>到底有著多少價值，<br>倒是一個疑問。"""
un_020280_0040#0,"""<%me>閣下。<br>你覺得<br>三英雄存在的理由是什麼？"""
un_020280_0050#0,"""1.讓ARKS存續"""
un_020280_0060#0,"""我想想......<br>大概答對了三分之一。"""
un_020280_0070#0,"""2.殲滅達卡"""
un_020280_0080#0,"""可惜，答錯了。<br>你看，只有達卡出現時<br>我們並不常出擊吧？"""
un_020280_0090#0,"""三英雄的目的，是保衛ARKS......<br>不，應該說是保護母艦。"""
un_020280_0100#0,"""而那絕對不等同<br>守護所有人。"""
un_020280_0105#0,"""就只是為了母艦的存續<br>而行動。"""
un_020280_0110#0,"""就算ARKS全部毀滅，<br>只要有母艦就夠重建。<br>他們是如此想的。"""
un_020280_0120#0,"""達卡的存在無關緊要，<br>ARKS的存在呢，其實也沒啥大不了。<br>但是，只有母艦一定要守住。"""
un_020280_0130#0,"""那就是所謂的三英雄。"""
un_020280_0140#0,"""若是他們認為將有危害，<br>連ARKS都會當成敵人吧。"""
un_020280_0150#0,"""其中一員的我<br>雖然沒什麼立場......<br>不過，千萬不要太過相信他們。"""
un_020280_0160#0,"""......啊啊，不好意思。<br>好像讓你產生了點誤解呢。"""
un_020280_0170#0,"""這只是以極端情況為前提，<br>實際上並不會發生的。"""
un_020280_0180#0,"""而且，為了不至於發生這種情況，<br>才會有六芒中的偶數。"""
un_020280_0190#0,"""所以說如果有個萬一，別信我們，<br>去相信瑪麗亞或是修伊吧。<br>......拜託你了。"""
un_020280_0010#1,"""惚れ惚れするような腕前ですね。<br><%me>さん。"""
un_020280_0020#1,"""時期が時期なら、レギアスあたりが<br>次代の六芒均衡に、と目を付けて<br>いたかもしれないほどですよ。"""
un_020280_0030#1,"""もっとも、六芒均衡や三英雄に<br>どれほどの価値があるかは<br>疑問ですけどね。"""
un_020280_0040#1,"""<%me>さん。<br>三英雄の、存在理由とは<br>何だと思います？"""
un_020280_0050#1,"""１．アークスの存続"""
un_020280_0060#1,"""そうですね……<br>三割ぐらい正解、でしょうか。"""
un_020280_0070#1,"""２．ダーカーの殲滅"""
un_020280_0080#1,"""残念、それははずれです。<br>ほら、ダーカーが出ただけでは<br>我々はめったに出撃しないでしょう？"""
un_020280_0090#1,"""三英雄の目的は、アークスを……<br>いえ、マザーシップを守ること、です。"""
un_020280_0100#1,"""それはけして皆を守ること<br>ではありません。"""
un_020280_0105#1,"""あくまで、マザーシップを<br>存続させるために、動くのです。"""
un_020280_0110#1,"""たとえアークスが滅んだとしても<br>あれが残っていれば再建可能。<br>そう、考えているんですよ。"""
un_020280_0120#1,"""ダーカーの存在なんてどうでもいい<br>アークスの存在も、実はどうでもいい。<br>ただ、マザーシップだけを守る。"""
un_020280_0130#1,"""それが、三英雄なんです。"""
un_020280_0140#1,"""もし、それに害をなすと判断されれば<br>アークスすら、敵に回すでしょうね。"""
un_020280_0150#1,"""その一人である<br>私が言うのもなんですが……<br>私達を、決して信じすぎないように。"""
un_020280_0160#1,"""……ああ、すみません。<br>少し勘違いさせたかもしれませんね。"""
un_020280_0170#1,"""あくまで極端な話をしただけです。<br>実際に、そんなことはありえませんよ。"""
un_020280_0180#1,"""それに、そういうことにならないよう<br>六芒の偶数番がいるわけですからね。"""
un_020280_0190#1,"""だから、いざというときは私たちより<br>マリアさんやヒューイを信じなさい。<br>……よろしくお願いしますよ。"""
