un_020730_0010#0,"""啊，你來的正好！<br>你好啊！\u3000人家是帕緹！"""
un_020730_0020#0,"""帕緹居然會正經打招呼......？<br>拜託平常也這麼做好不好......"""
un_020730_0030#0,"""覺得被她驚嚇到了。<br>先不管提雅了，正好有件事情<br>想要請教你。"""
un_020730_0040#0,"""坦白說，你是做了什麼好事？<br>例如對於ARKS不利的事之類的。"""
un_020730_0050#0,"""嗯，人家也不是很清楚，<br>但不久前開始就有人斷斷續續<br>在打探你的消息呢。"""
un_020730_0060#0,"""打探消息的大概是......<br>和虛空機關有關的人。"""
un_020730_0070#0,"""想說這事情問本人最快，<br>所以才到這裡來找你。<br>應該是有什麼吧。"""
un_020730_0080#0,"""......啊，你別擔心。<br>我們這邊不會洩漏任何事情。"""
un_020730_0090#0,"""對啊對啊，帕緹與提雅<br>目前可是和你簽了專屬契約呢！"""
un_020730_0100#0,"""只會有事情向你透露，<br>絕對不會透露你的事情！<br>這就是包打聽的規矩啦！"""
un_020730_0110#0,"""我們也正在調查當中，<br>但是好像落居下風......"""
un_020730_0120#0,"""唉，那孩子的委託<br>我們也接下來了，沒辦法！"""
un_020730_0130#0,"""所以呢，我們目前能做的<br>就是多加注意了。"""
un_020730_0140#0,"""......千萬小心。<br>似乎有什麼大事要發生。"""
un_020730_0150#0,"""至於是什麼「大事」現在還摸不著頭緒，<br>真是有點牙癢癢的......<br>這種時候慌張也沒有用。"""
un_020730_0160#0,"""所以，人家和提雅<br>會和以往一樣，<br>東奔西走收集情報去！"""
un_020730_0010#1,"""あ、ちょうどいいところに！<br>こんにちは！\u3000パティですよ！"""
un_020730_0020#1,"""パティちゃんがちゃんと挨拶……？<br>普段からそれ、やれよ……"""
un_020730_0030#1,"""なんかショックを受けてる<br>ティアは放っておいて、ちょうど<br>アナタに聞きたいことがあったの。"""
un_020730_0040#1,"""単刀直入に、アナタ何かやらかした？<br>アークスにとって不都合なこととか。"""
un_020730_0050#1,"""んー、あたしもよくわからないんだけど<br>この前からちょいちょいアナタの情報を<br>聞かれたりするんだよねー。"""
un_020730_0060#1,"""聞いてくる人はたぶん……<br>虚空機関がらみの人。"""
un_020730_0070#1,"""本人に直接聞けば良いことまで<br>こっちに来るからさ。<br>なにかありそうだなーって。"""
un_020730_0080#1,"""……あ、ご心配なく。<br>私たちからは何も話していません。"""
un_020730_0090#1,"""そうそう、パティエンティアは<br>アナタと専属契約中だからね！"""
un_020730_0100#1,"""アナタに話すことはあっても<br>アナタのことを話すのはなし！<br>情報屋のポリシーってやつ！"""
un_020730_0110#1,"""私たちも調べてはいるんですが<br>どうにも後手後手で……"""
un_020730_0120#1,"""まー、あの子からの依頼も<br>受けてるから、仕方なし！"""
un_020730_0130#1,"""だから、私たちにできるのは<br>注意喚起ぐらい。"""
un_020730_0140#1,"""……気をつけて。<br>何かが起きようとしてるみたい。"""
un_020730_0150#1,"""その「何か」がわからないのが<br>ちょっと歯がゆいけど……<br>そこで慌てても仕方ないもんね。"""
un_020730_0160#1,"""なので、あたしとティアは<br>いつも通り、情報収集に<br>東奔西走しちゃうのだ！"""
