common01#0,"""虛擬訊息"""
sk_common_0010#0,"""到此為止！<br>很好很好，非常好！<br>我已經充分見識了各位的身手！"""
sk_common_0020#0,"""......嗯唔。<br>成績差強人意啊！"""
sk_common_0030#0,"""但各位在這場戰技大會<br>從頭到尾全程參與，精神可嘉！<br>這就是我們ARKS需要的！"""
sk_common_0040#0,"""雖然可惜未能獲得名次，<br>也無法參加示範比賽，然而<br>卻已展露出各位十二分的熱情！"""
sk_common_0050#0,"""好了，返航吧！<br>所有人都在期待著各位的歸來！"""
sk_common_0060#0,"""無可挑剔的成績！<br>企劃本活動的我與有榮焉！<br>我厲害吧！\u3000我獨具慧眼！"""
sk_common_0070#0,"""不過呢，這都是由於各參賽者<br>努力不懈，才能達成！"""
sk_common_0080#0,"""讓我禁不住要給各位<br>一項特別的獎勵！"""
sk_common_0090#0,"""哈－－哈哈哈！<br>各位參賽者，辛苦囉！<br>大家玩得夠開心吧！"""
sk_common_0100#0,"""喂，修伊......修伊！<br>這個我也要參加啦！<br>我不能參加喔！"""
sk_common_0110#0,"""你可是大會執行端耶......<br>咳咳......我們回到正題<br>報告一下中途經過！"""
sk_common_0120#0,"""那是誰？"""
sk_common_0130#0,"""啊，我好像<br>聽過這個名字......<br>又好像沒印象耶......"""
sk_common_0140#0,"""話說回來，各位的成績非常接近！<br>形成激烈的拉鋸戰！<br>暫居首位的隨時可能會被拉下馬！"""
sk_common_0150#0,"""我說修伊啊。<br>照著劇本唸......<br>幹嘛哩？\u3000這樣有趣嗎？"""
sk_common_0160#0,"""好，接下來的後半場戰鬥<br>期待各位繼續創造佳績！<br>以上！"""
sk_common_0170#0,"""......喏，克拉雷斯。<br>這是各參賽者的資料，<br>日後會有用的，有空先看看吧？"""
sk_common_0180#0,"""等、等等啦，修伊！<br>......那人家要做什麼啦？"""
sk_common_0190#0,"""嗯？\u3000還問我要做什麼。<br>除了說聲「恭喜獲得優勝」以外，<br>難不成妳還有其他話要講？"""
sk_common_0200#0,"""唉呀，不是這個啦......"""
sk_common_0210#0,"""呵哈哈哈哈哈！<br>小事情就別在意啦！"""
sk_common_0220#0,"""果然是出手見真章！<br>你的意志純然無邪！<br>就說不要管那些雞毛小事了啦！"""
sk_common_0230#0,"""只要不忘正義之心<br>凡事大抵都能解決！<br>血氣方剛只是剛剛好啦！"""
sk_common_0240#0,"""你要問的就這些？<br>那就再會啦！"""
sk_common_0250#0,"""......真是的，那傢伙從各方面看<br>的確都是超水準的。<br>看來我還有得努力。"""
