text01#0,"""嗨，回來啦？<br>我看過你的報告了，<br>成果真的很不錯。"""
text02#0,"""既然你已經對劍的使用方式那麼熟練，<br>那就沒什麼好擔心的了。"""
text03#0,"""好，這把劍就當作餞別禮吧。"""
11_voice_NPC_5020_100#0,"""再見啦。<br>以後也要持續練劍喔。"""
linewindow001#0,"""<br>可以把歐薩當作夥伴了。<br>"""
text100#0,"""關於『委託任務』"""
text101#0,"""喬瑟夫有需要託付的委託任務。<br><br>喬瑟夫在出發區的2樓。"""
text01#1,"""おう、帰還したみたいだな。<br>報告も見させてもらったが<br>なかなかどうして、いい結果じゃないか。"""
text02#1,"""これだけソードを使いこなせるのなら<br>もう心配することは何もないだろう。"""
text03#1,"""よし、そのソードは餞別だ。"""
11_voice_NPC_5020_100#1,"""それじゃあな。<br>これからも、ソードの習熟に励めよ。"""
linewindow001#1,"""<br>オーザをパートナーとして呼べるようになりました。<br>"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""ジョーゼフにクライアントオーダーが発生しました。<br><br>ジョーゼフはゲートエリア2階にいます。"""
