MesetaDenomination#0,"""メセタ"""
AcDenomination#0,"""AC"""
CpDenomination#0,"""CP"""
FunDenomination#0,"""FUN"""
StarDenomination#0,"""スター"""
CcDenomination#0,"""CC"""
CmDenomination#0,"""CM"""
SgDenomination#0,"""SG"""
Cash#0,"""所持金"""
CashMeseta#0,"""所持メセタ"""
CashAc#0,"""所持AC"""
CashCp#0,"""所持CP"""
CashFun#0,"""所持FUN"""
CashStar#0,"""所持スター"""
CashCc#0,"""所持CC"""
CashCm#0,"""所持CM"""
CashSg#0,"""所持SG"""
CashDenomi#0,"""所持$(0)"""
TotalAmount#0,"""合計金額"""
TotalMeseta#0,"""合計メセタ"""
TotalAc#0,"""合計AC"""
TotalCp#0,"""合計CP"""
TotalFun#0,"""合計FUN"""
TotalStar#0,"""合計スター"""
TotalCc#0,"""合計CC"""
TotalCm#0,"""合計CM"""
TotalSg#0,"""合計SG"""
TotalDenomi#0,"""合計$(0)"""
InputBuyNumberTitle_Vita#0,"""購入個数選択"""
InputSellNumberTitle_Vita#0,"""売却個数選択"""
StockNumber_Vita#0,"""在庫数 / $(0)"""
ShopTitle#0,"""トレジャーショップ"""
MenuGuide#0,"""<c f0df60>利用するショップを選択してください。<c>"""
MenuTitle#0,"""ショップメニュー"""
MenuSG#0,"""スタージェムで買う"""
MenuMeseta#0,"""メセタで買う"""
MenuEnd#0,"""ショップを出る"""
SgShopTitle#0,"""スタージェムで買う"""
SgShopGuide#0,"""<c f0df60>購入するアイテムを選択してください。「リストの手動更新<c><pict StarGem><c f0df60>」で、すぐに商品リストを更新できます。<c>"""
SgShopGuide_v#0,"""<c f0df60>購入するアイテムを選択してください。「リストの手動更新<c><pict StarGem><c f0df60>」で、すぐに商品リストを更新できます。<c>"""
MesetaShopTitle#0,"""メセタで買う"""
MesetaShopGuide#0,"""<c f0df60>購入するアイテムを選択してください。「リストの手動更新<c><pict StarGem><c f0df60>」で、すぐに商品リストを更新できます。<c>"""
MesetaShopGuide_v#0,"""<c f0df60>購入するアイテムを選択してください。「リストの手動更新<c><pict StarGem><c f0df60>」で、すぐに商品リストを更新できます。<c>"""
ShopListTitle#0,"""商品リスト"""
ShopListResetTime#0,"""次回更新：$(0)"""
ShopListResetButton#0,"""<yellow>リストの手動更新<c><pict StarGem>"""
RenewConfirmTitle#0,"""リストの手動更新"""
