11_voice_NPC_5002_102#0,"""Did you know a Mag is considered<br>to be a reflection of its owner's soul?"""
text02#0,"""Their abilities change depending on how <br>you take care of them & what you feed them. <br>You may even train them to attack differently."""
text03#0,"""A Mag belongs to you and nobody else.<br>That's why it's really important to plan<br>for their growth."""
text04#0,"""You know how they say you are what you eat?<br>Well, that's no lie when it comes to Mags.<br>What you feed them really matters!"""
text05#0,"""Go ahead, try feeding your Mag something.<br>I guarantee you'll make it a happy Mag!"""
11_voice_NPC_5002_102#1,"""おせっかいとか言わないの！<br>マグはね、所持者の心を映す鏡とまで<br>言われたりもするのよ？"""
text02#1,"""あげるエサによって成長する能力も<br>変わったりするし、攻撃方法なんかも<br>いろいろ調整できるし……"""
text03#1,"""自分専用のマグ！　と言う意味で<br>育成方針ってのは本当に重要なんだよ。"""
text04#1,"""……こほん。熱くなっちゃった。<br>まあ、なにはともあれ、マグの育成は<br>エサをあげることからはじまるの！"""
text05#1,"""それじゃ、マグにエサをあげてみて。<br>きっと喜んでくれるから。"""
text00#0,"""How to Give Mags Items"""
text01#0,"""This is an explanation on how to give Mags items.<br><br>You can raise the Support Level of certain stats by giving <br>your Mags items. This will make them grow.<br><br>If you open the ""Mag Summary"" from the menu, information <br>about your Mag will be displayed.<br>Now let's select the ""Give Item"" command."""
text02#0,"""By choosing ""Give Item"", you can give your Mag an item and make it grow.<br><br>Which Support Levels will increase or decrease depends on the item you give it.<br><br>However, once a Mag's energy has gone up above a certain level, <br>you cannot give it items. So please be careful of that."""
text00#1,"""マグにアイテムを与える方法について"""
text01#1,"""マグにアイテムを与える方法<br>について説明します。<br><br>マグはアイテムを与えることで成長し、<br>パラメータの支援レベルを<br>上げることが出来ます。<br><br>メニューからマグ一覧を開き、<br>マグの情報を表示します。<br>その後「アイテムを与える」の<br>コマンドを選択しましょう。"""
text02#1,"""「アイテムを与える」を選ぶと、<br>マグにアイテムを与えて<br>成長させることができます。<br><br>アイテムの種類によって<br>どの支援レベルが上昇・下降するか異なります。<br><br>またマグのエネルギーが一定以上あると<br>アイテムを与えられないので注意しましょう。"""
