ar_or011100#0,"""No.1<br>卡菲的委託任務<br>完成「新增任務模擬訓練．森林」<br><yellow>※Lv.45～可接受任務<c>"""
ar_or011101#0,"""No.2<br>卡菲的委託任務<br>完成 「新增任務模擬訓練．火山洞窟」"""
ar_or011102#0,"""No.3<br>卡菲的委託任務<br>完成「新增任務模擬訓練．沙漠」"""
ar_or011100#1,"""No.1<br>コフィーのクライアントオーダー<br>「新規任務模擬訓練・森林」の達成<br><br><yellow>※Lv.45～受注可能<c>"""
ar_or011101#1,"""No.2<br>コフィーのクライアントオーダー<br>「新規任務模擬訓練・火山洞窟」の達成"""
ar_or011102#1,"""No.3<br>コフィーのクライアントオーダー<br>「新規任務模擬訓練・砂漠」の達成"""
ar_or011100#2,"""新增任務模擬訓練．森林"""
ar_or011101#2,"""新規任務模擬訓練．火山洞窟"""
ar_or011102#2,"""新規任務模擬訓練．沙漠"""
ar_or011100#3,"""新規任務模擬訓練・森林"""
ar_or011101#3,"""新規任務模擬訓練・火山洞窟"""
ar_or011102#3,"""新規任務模擬訓練・砂漠"""
