un_012220_0010#0,"""咦？<br>我成為偶像的理由嗎？"""
un_012220_0020#0,"""唉......我說你啊，<br>明知故問的吧？"""
un_012220_0030#0,"""問這麼明顯的問題，<br>小心人家討厭你喔。<br>最好是注意一點啦。"""
un_012220_0040#0,"""好啦，就回答你吧。<br>人家是因為接受<br>『成為偶像』的命令才會走這行。"""
un_012220_0050#0,"""幸好人家生就一副好皮囊。<br>面對偶像的時候，<br>經常會大意透露出情報。"""
un_012220_0060#0,"""而如果掌握到重要資訊，<br>接著就是另一面的我出現了。<br>你最好也小心點唷！"""
un_012220_0070#0,"""呃，不妙......<br>剛剛說的全都是機密耶。"""
un_012220_0080#0,"""......嗯，不知為什麼耶。<br>和你說話，常常會說溜嘴。"""
un_012220_0090#0,"""或許是因為<br>不太常與人說話吧？<br>嗯，只要你不說就沒事囉。"""
un_012220_0100#0,"""不過呢。<br>剛開始就像這樣，<br>連當偶像都是受命扮演的......"""
un_012220_0110#0,"""不過，因為人家的歌聲<br>讓大家笑容滿面，<br>總覺得很高興，對吧。"""
un_012220_0120#0,"""A.P.238/4/16"""
un_012220_0010#1,"""え？<br>あたしがアイドルをやってる理由？"""
un_012220_0020#1,"""はー……あのさー、あなた<br>答えわかってて聞いてるでしょ？"""
un_012220_0030#1,"""わかりきった事を聞く人って<br>嫌われちゃうんだからね。<br>気をつけた方が良いよー。"""
un_012220_0040#1,"""それじゃ、答え合わせね。<br>あたしは『アイドルになれ』と<br>命令を受けているからやってるの。"""
un_012220_0050#1,"""幸いにも見てくれはよかったからね。<br>アイドル相手ならって、油断して<br>情報も漏れてきたりするし。"""
un_012220_0060#1,"""そこで重要情報を掴んだら<br>もう一つの顔の出番、ってワケ。<br>あなたも気をつけてね！"""
un_012220_0070#1,"""って、まず……<br>明らかに機密情報だったよね、今の。"""
un_012220_0080#1,"""……んー、なんでだろう。<br>あなた相手だと喋り過ぎちゃうな。"""
un_012220_0090#1,"""あんまり人と話すことが<br>なかったからかな？<br>ま、黙っててくれれば問題ないよー。"""
un_012220_0100#1,"""でも、さ。<br>最初はそんな感じでアイドルも<br>命令だから演じてたけど……"""
un_012220_0110#1,"""あたしの歌とかで<br>みんなが笑ってくれるのは<br>なんだか嬉しいんだよね。"""
un_012220_0120#1,"""A.P.238/4/16"""
