11_voice_NPC_5055_100#0,"""僕、アークスにはなれませんけど<br>もっともっと勉強して、みなさんの<br>お役に立てるようになりたいんです！"""
11_voice_NPC_5055_100#1,"""僕、アークスにはなれませんけど<br>もっともっと勉強して、みなさんの<br>お役に立てるようになりたいんです！"""
11_voice_NPC_5055_100#2,"""僕、アークスにはなれませんけど<br>もっともっと勉強して、みなさんの<br>お役に立てるようになりたいんです！"""
11_voice_NPC_5055_101#0,"""やっぱり実地のデータはすごいです！<br>計算してるだけじゃわからないことが<br>いろいろとつまってる……！"""
11_voice_NPC_5055_101#1,"""やっぱり実地のデータはすごいです！<br>計算してるだけじゃわからないことが<br>いろいろとつまってる……！"""
11_voice_NPC_5055_101#2,"""やっぱり実地のデータはすごいです！<br>計算してるだけじゃわからないことが<br>いろいろとつまってる……！"""
11_voice_NPC_5055_100#3,"""不思議と思ったことを調べていく。<br>それが学者の務めと僕は習いました。"""
Npc55_07_020#0,"""天候変化なんていう些細なものでも<br>役に立つときはきっとありますしね。"""
11_voice_NPC_5055_100#4,"""不思議と思ったことを調べていく。<br>それが学者の務めと僕は習いました。"""
Npc55_08_020#0,"""天候変化なんていう些細なものでも<br>役に立つときはきっとありますしね。"""
11_voice_NPC_5055_100#5,"""不思議と思ったことを調べていく。<br>それが学者の務めと僕は習いました。"""
Npc55_mb9_020#0,"""天候変化なんていう些細なものでも<br>役に立つときはきっとありますしね。"""
11_voice_NPC_5055_100#6,"""不思議と思ったことを調べていく。<br>それが学者の務めと僕は習いました。"""
Npc55_mb10_020#0,"""天候変化なんていう些細なものでも<br>役に立つときはきっとありますしね。"""
11_voice_NPC_5055_100#7,"""不思議と思ったことを調べていく。<br>それが学者の務めと僕は習いました。"""
Npc55_mb11_020#0,"""天候変化なんていう些細なものでも<br>役に立つときはきっとありますしね。"""
11_voice_NPC_5055_101#3,"""不思議と思ったことを調べていく。<br>それが学者の務めと僕は習いました。"""
Npc55_mb12_020#0,"""天候変化なんていう些細なものでも<br>役に立つときはきっとありますしね。"""
11_voice_NPC_5055_101#4,"""不思議と思ったことを調べていく。<br>それが学者の務めと僕は習いました。"""
Npc55_mb13_020#0,"""天候変化なんていう些細なものでも<br>役に立つときはきっとありますしね。"""
11_voice_NPC_5055_101#5,"""不思議と思ったことを調べていく。<br>それが学者の務めと僕は習いました。"""
Npc55_mb14_020#0,"""天候変化なんていう些細なものでも<br>役に立つときはきっとありますしね。"""
11_voice_NPC_5055_101#6,"""不思議と思ったことを調べていく。<br>それこそが、学者のつとめです。"""
sq01_02#0,"""天候変化なんていう些細なものでも<br>役に立つときはきっとありますしね。"""
11_voice_NPC_5055_105#0,"""あ、あのアークスの方ですよね？<br>急にすみません。よかったら<br>僕の話を聞いてもらえませんか？"""
ep6_sq00_01#0,"""一見不思議な気象現象でも<br>必ずそこに物理的な解釈が存在します。<br>それを発見するのが学者の務めです。"""
11_voice_NPC_5055_100#8,"""そのためには、先入観に囚われず<br>粘り強くデータと向き合っていく根気が<br>必要ですが、楽しい過程でもあります。"""
11_voice_NPC_5055_101#7,"""不思議と思ったことを調べていく。<br>それが、学者のつとめです。"""
st01_02#0,"""天候変化なんていう些細なものでも<br>役に立つときはきっとありますしね。"""
11_voice_NPC_5055_101#8,"""おつかれさまです。<br>圧倒的な数値の差を埋める<br>あなたの活躍……お見事でした。"""
text02#0,"""データだけでは考えつかなかった<br>この結末に驚きを隠せません。<br>とても、面白い結果だと思います。"""
text03#0,"""僕はこれからも研究を続けます。<br>なにか困ったことがあれば<br>聞いてください。"""
