Begin#0,"""/ci2 1 提雅開始"""
Success#0,"""/mn1 /ci2 2 提雅成功"""
Failure#0,"""/mn1 /ci2 2 提雅失敗"""
Dead#0,"""/mn1 /ci2 2 提雅死亡"""
BuddyDead#0,"""/mn1 /ci2 2 提雅對象死亡"""
Evolution#0,"""/mn1 /ci2 2 提雅發展"""
Begin#1,"""/ci2 1 ティア開始"""
Success#1,"""/mn1 /ci2 2 ティア成功"""
Failure#1,"""/mn1 /ci2 2 ティア失敗"""
Dead#1,"""/mn1 /ci2 2 ティア死亡"""
BuddyDead#1,"""/mn1 /ci2 2 ティア相手死亡"""
Evolution#1,"""/mn1 /ci2 2 ティア発展"""
Begin#2,"""/mn12 /ci2 2 喂，戰士，在賣弄泳裝之前快戰鬥。<br>……咳咳，因為敵人突然出現很困惱，<br>你可以幫幫我嗎。"""
Success#2,"""/mn15 /ci2 2 t5 戰士這個頭銜到底……<br>隨便了，非常謝謝你。"""
Failure#2,"""/mn12 對不起……<br>原因很明顯出在我們身上，此外<br>是哪來的美少女戰士。"""
Dead#2,"""/mn34 ……對不起，我到極限了。<br>之後愛與勇氣的美少女戰士<br>應該會幫我做些什麼……"""
BuddyDead#2,"""/ci1 1 真是的，說什麼美少女戰士<br>是在搞笑吧？<br>稍微休息一下吧，小帕緹。"""
Evolution#2,"""未使用"""
Begin#3,"""/mn12 /ci2 2 おい戦士、水着見せびらかす前に戦え。<br>……こほん。急にエネミーが出てきて<br>困ってるので、手伝ってくれないかな。"""
Success#3,"""/mn15 /ci2 2 t5 戦士という肩書きはいったい……<br>ともあれ、ありがとうございました。"""
Failure#3,"""/mn12 ごめんなさい……<br>原因は明らかに私たち、というか<br>どこかの美少女戦士にあります。"""
Dead#3,"""/mn34 ……すみません、私は限界。<br>あとは愛と勇気の美少女戦士が<br>なんとかしてくれるはずです……"""
BuddyDead#3,"""/ci1 1 ああもう、美少女戦士とかいって<br>ふざけてるからだよ？<br>ちょっと休んでてね、パティちゃん。"""
Evolution#3,"""未使用"""
