text01001#0,"""午安！<br>你是Arks的成員吧？"""
text01002#0,"""嗯，嗯嗯，合格！"""
text01003#0,"""啊，抱歉抱歉。<br>我的名字叫希。"""
text01004#0,"""我也是想請你幫忙。<br>不知道你能不能聽我說說呢？"""
text02001#0,"""進步是什麼樣的感覺？<br>我會一直等你的！"""
text03001#0,"""傅莉葉的目的<br>所有的任務都完成了！"""
text03002#0,"""太好了，嗯！<br>都是托你的福喔！"""
text03003#0,"""真的，真的很謝謝你！"""
text01001#1,"""こんにちはっ！<br>貴方、アークスよね？"""
text01002#1,"""うん、うんうん、合格っ！"""
text01003#1,"""あ、ごめんごめん。<br>わたしの名前はシー。"""
text01004#1,"""協力して欲しいことがあるんだけど<br>話を聞いてくれないかな？"""
text02001#1,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
text03001#1,"""どうだったっ？<br>独立記念日イベントの間<br>たくさん自由を満喫したかなっ！"""
text03002#1,"""わたしはまだもうちょーっと<br>やることあるんだけど<br>みんなの笑顔を見ただけでじゅーぶん！"""
text03003#1,"""うんとリフレッシュして<br>これからも頑張ってね！"""
