name_7439#0,"""アカツキ"""
ssn_015320_0001#0,"""よう、セントラルから来た“星渡り”とは,<br>君のことだな。"""
ssn_015320_0002#0,"""俺も、스티아에서の活動は長い。<br>できる限り協力させてもらおう。"""
ssn_015320_0101#0,"""おう、よく来たな。"""
ssn_015320_0102#0,"""君とは一度,<br>ちゃんと話してみたかったんだ。"""
ssn_015320_0103#0,"""俺はアカツキ。この先遣隊에서<br>戦闘団第１小隊の隊長を務めている。"""
ssn_015320_0104#0,"""君の話はブルーダー에게<br>よく聞いているよ。"""
ssn_015320_0105#0,"""ブルーダーとは昔馴染みでね。<br>あいつが、まだ駆け出しの頃からの付き合いだ。"""
ssn_015320_0106#0,"""彼が、高く評価するアークスが,<br>どれほどのものか、興味があってな。"""
ssn_015320_0107#0,"""丁度いい依頼が、手元にある。<br>よければ、引き受けてもらいたい。"""
ssn_015320_0201#0,"""드라이젠 플랜트에서<br>“スカウトワスプ”を倒してきてもらいたい。"""
ssn_015320_0202#0,"""増援を呼ばれる前에<br>一気に破壊するのがセオリーだ。"""
ssn_015320_0203#0,"""どれほどの成果を上げてくれるか,<br>楽しみにしているぞ。"""
ssn_015320_0301#0,"""そうか……。<br>時間ができたら、また来てくれ。"""
