un_020440_0010#0,"""......呼。"""
un_020440_0020#0,"""......啊，不好意思。<br>剛好在想事情............"""
un_020440_0030#0,"""......那個，有點事情<br>想要請教你，方便嗎。<br>只是一件不足道的事情啦。"""
un_020440_0040#0,"""......出任務時，<br>一男一女組成隊伍<br>應該很正常吧。"""
un_020440_0050#0,"""......那、那個......<br>手勾手呢？"""
un_020440_0060#0,"""......與說是任務，<br>不如說是......一起出遊<br>......這樣如何呢。"""
un_020440_0070#0,"""......不、不是在說誰啦。<br>只不過、只是有點在意，<br>真的就只是這樣啦。"""
un_020440_0080#0,"""......不過，不知道為什麼，<br>心裡非常的不舒服......<br>很焦慮......"""
un_020440_0090#0,"""......真是抱歉。<br>這麼曖昧的敘述<br>你聽了應該也很困擾吧。"""
un_020440_0100#0,"""......請你忘記我剛剛說的話。<br>只要我不去在意，事情就結束了。"""
un_020440_0110#0,"""......是喔。<br>我並不需要去在意。<br>沒有那個必要......本該如此的啊......"""
un_020440_0010#1,"""……ふぅ。"""
un_020440_0020#1,"""……あ、ごめんなさい。<br>考え事していて…………"""
un_020440_0030#1,"""……あの、ちょっと聞きたいことが<br>あるんだけど、いいかしら。<br>くだらないこと、なんだけど。"""
un_020440_0040#1,"""……任務だったら<br>男女ふたりきりでパーティーを<br>組んでも、おかしくないわよね。"""
un_020440_0050#1,"""……じゃあ、その……<br>腕を、組んだりするのは？"""
un_020440_0060#1,"""……任務というよりも<br>一緒に……遊んでいるようなのは<br>……どうなんだろう、って。"""
un_020440_0070#1,"""……べ、別に誰の話でもないわ。<br>ちょっと、ちょっと気になった<br>それだけなんだから。"""
un_020440_0080#1,"""……ただ、よくわからないけど<br>すごく、もやもやっとして……<br>いらいらしてしまって……"""
un_020440_0090#1,"""……ごめんなさい。<br>こんな曖昧な話をされても<br>困らせるだけよね。"""
un_020440_0100#1,"""……今の話は忘れて。<br>私が気にしなければ、それで終わり。"""
un_020440_0110#1,"""……そう。<br>私が気にする必要なんてない。<br>そんな必要ない……はずなのに……"""
