un_020690_0010#0,"""嗯，啊啊，是前輩啊。<br>怎麼了，<br>強弓有這麼稀奇嗎？"""
un_020690_0020#0,"""不久之前，說是稀有品也是沒錯，<br>但當武士職業建立後，<br>也沒那麼奇特了吧。"""
un_020690_0030#0,"""俺的職業也是武士。<br>使用的武器不是這把就是刀，<br>二選一。"""
un_020690_0040#0,"""雖說刀俺也能用，<br>但這個用起來比較順手。"""
un_020690_0050#0,"""前輩也有這樣的武器吧。<br>類似像感覺用起來好用、<br>順手的得意傢伙。"""
un_020690_0060#0,"""雖說能夠施展所有武器都<br>比較能夠在任何時候<br>做出因應......但俺是沒辦法。"""
un_020690_0070#0,"""所以，<br>俺想要先將這把練到<br>俺能夠達到的極致。"""
un_020690_0080#0,"""喂，俺這是在講些什麼啊。<br>不過是一般的菜鳥而已......"""
un_020690_0090#0,"""抱歉前輩，剛剛的當我沒說。<br>拜託你忘掉，超丟人的......"""
un_020690_0100#0,"""......不過，如果要從這把<br>改換成別的武器......這個嘛。<br>請前輩給俺指點指點囉。"""
un_020690_0110#0,"""因為前輩不是能夠<br>使用所有的武器嗎。<br>俺可是聽過這個傳聞喔。"""
un_020690_0010#1,"""ん、ああ、センパイか。<br>どうしたんだよ、バレットボウが<br>そんなに珍しい？"""
un_020690_0020#1,"""一昔前はレアもレアだっただろうけど<br>ブレイバーが確立してからは<br>そうでもないだろ。"""
un_020690_0030#1,"""おれもクラスはブレイバーだからな。<br>使う武器は、これかカタナか<br>どっちかになる。"""
un_020690_0040#1,"""カタナも使えはしたんだけど<br>こっちのほうが、しっくりきたんだ。"""
un_020690_0050#1,"""センパイだってあるだろ、そーゆーの。<br>これが使いやすい、しっくりくるって<br>感覚を覚えるヤツがさ。"""
un_020690_0060#1,"""武器は全部満遍なく使える方が<br>どんな時にでも対応できて<br>いいんだろうけど……おれは無理。"""
un_020690_0070#1,"""だからまずは、こいつを<br>極められるところまで<br>極めてみたいって、思ったんだ。"""
un_020690_0080#1,"""って、おれは何を語ってるんだ。<br>新米のぺーぺーのくせに……"""
un_020690_0090#1,"""ごめんセンパイ、今のなし。<br>忘れてくれ、恥ずかしい……"""
un_020690_0100#1,"""……ま、こいつから別の武器に<br>乗り換えるときには……そうだな。<br>センパイがおれを指導してくれよ。"""
un_020690_0110#1,"""だって、センパイは全ての武器を<br>使いこなせるんだろ。<br>そういう噂、聞いたことあるぜ？"""
