name_7448#0,"""カツラギ"""
ssn_015330_0001#0,"""最近、에아리오 から来たアークスですね！<br>あなたの噂は聞いています。とても腕が立つようで。"""
ssn_015330_0002#0,"""스티아の돌즈は、強敵ばかりです。<br>あなたのようなアークスは、大歓迎ですよ。"""
ssn_015330_0101#0,"""わたしは、この先遣隊에서<br>技術支援を行っているカツラギといいます！"""
ssn_015330_0102#0,"""스티아に存在する構造物や、에너미について調べて,<br>戦いのサポートをしているのですが……。"""
ssn_015330_0103#0,"""ちょっと困ったことがありまして。<br>あなたに手伝ってもらいたいんです。"""
ssn_015330_0104#0,"""お話を、聞いていただけますでしょうか？"""
ssn_015330_0201#0,"""리전 마그のデータを送ってください。<br>스티아 외연부にあるものをお願いできればと。"""
ssn_015330_0202#0,"""よろしくお願いします！"""
ssn_015330_0301#0,"""そうですか……。<br>また時間のあるときに、声をかけてくれると嬉しいです。"""
ssn_015330_1001#0,"""この前は、ありがとうございました！<br>本当に助かりました。"""
ssn_015330_1002#0,"""もしかしたら、またなにかお願いするかもしれません。<br>その時は、相談にのってくれると嬉しいです。"""
ssn_015330_1101#0,"""よく来てくれました！<br>実は、またあなたにお願いしたいことがあるんです。"""
ssn_015330_1102#0,"""ただ……、今度は少し危険をともなうの에서<br>無理にとは言いません。"""
ssn_015330_1201#0,"""리콘기간츠のデータ収集をお願いします。<br>近づいて、その姿を確認するだけで大丈夫です。"""
ssn_015330_1202#0,"""相手の力は、未知数です。<br>くれぐれも、気をつけて臨んでください。"""
ssn_015330_1301#0,"""そうですか……。<br>もし気が変わりましたら、またお声がけください。"""
ssn_015330_1401#0,"""あなたのおかげ에서<br>いろいろと貴重なデータを得ることができました。"""
ssn_015330_1402#0,"""今後の戦いに、きっと活かせるはずです。<br>ほかの隊員たちも、感謝しています。"""
ssn_015330_1403#0,"""またなにかありましたら、相談させてください。<br>よろしくお願いします！"""
