Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自分死亡5008"""
BuddyDead#0,"""相手死亡5008"""
Evolution#0,"""発展5008"""
Begin#1,"""/mn2 /ci4 4 あ、先生！\u3000よかった！<br>助けてください！\u3000エネミーもですが<br>ヒューイさんが止まりません！"""
Success#1,"""/mn15 /ci2 1 t5 あっ、は、はいっ！<br>……どうして自分はヒューイさんと<br>一緒に探索してるんだろう。"""
Failure#1,"""/mn4 自分、これ以上は無理です……<br>……すみません、先生<br>先に退かせてもらいます。"""
Dead#1,"""/mn1 ケーキ屋探索がどうしてこんなことに。<br>自分、くやしいです……！"""
BuddyDead#1,"""/mn23 /ci5 2 ひゅ、ヒューイさん！<br>こんなときにやられたフリですか！？<br>じ、自分たちが頑張るしか！"""
Begin#2,"""/mn1 /ci1 2 あ、先生！\u3000たすけてくださーい！<br>エネミーも、ヒューイさんも<br>止まらないんです……！"""
Success#2,"""/ci4 2 あっ、は、はいっ！<br>……どうして自分はヒューイさんに<br>巻き込まれてるんだろう？"""
Failure#2,"""/mn23 /ci4 3 自分、これ以上は無理です……<br>……すみません、先生<br>先に退かせてもらいます！"""
Dead#2,"""/mn5 自分、もう限界です……！<br>くやしいです……！"""
BuddyDead#2,"""/mn2 ひゅ、ヒューイさん！<br>こんなときにやられたフリですか！？<br>じ、自分たちが頑張るしか！"""
