Title#0,"""Greenscape Probe"""
Explanation#0,"""หน้าที่ของท่านคือสำรวจป่าไม้ที่ชื่อ<br> Greenscape บน Naberius<br>ท่านสามารถสำรวจ Greenscape เมื่อไหร่ก็ได้ที่สะดวก<br>----------------------------------------<br>ท่านจะล้มเหลวถ้าแพ้การต่อสู้สุดท้าย"""
Title#1,"""森林探索"""
Explanation#1,"""惑星ナベリウスに広がる<br>広大な森林の調査が目的となる。<br><br>森林内を各位、自由に探索せよ。<br><br><br><br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""ไปยังพื้นที่สุดท้าย!"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
