name01#0,"""シエラ"""
text01#0,"""また、デュアルブレードの<br>武器アクションはギアをためて使うと<br><red>「フォトンブレード」<c>を生み出します。"""
text02#0,"""<red>ギアをためて<c>、武器アクションを行い<br>生み出したフォトンブレードを<br>エネミーに当ててみましょう。"""
text101#0,"""課題３：<yellow>フォトンブレードについて"""
train_title#0,"""課題３：<yellow>フォトンブレードについて"""
tut_title#0,"""フォトンブレードについて"""
text100#0,"""・エネミーを攻撃してギア１以上ためる<br>・<%WeaponAction>でフォトンブレードをエネミーに<br>\u3000ヒットさせる"""
text100_3b#0,"""・エネミーを攻撃してギア１以上ためる<br>・<%MainPaletteC>でフォトンブレードをエネミーに<br>\u3000ヒットさせる"""
tut_win_title#0,"""『デュアルブレードギア』について"""
tut_win_text100#0,"""クラススキル「デュアルブレードギア」を<br>習得している場合には<br>メインパレットの上部に<br>ギアゲージが追加されます。<br><br>デュアルブレードの攻撃をヒットさせると<br>ギアゲージが蓄積されていきます。"""
tut_win_text101#0,"""ギアゲージが高まると<br>フォトンブレードが使用可能となります。<br>武器アクションを行うことによって<br>フォトンブレードを対象に向けて<br>発射することができます。<br><br>フォトンブレードが刺さった部位を<br>攻撃することで追加でＰＰが回復し<br>ギアゲージの蓄積量も増加します。"""
