Title#0,"""Cauldron Probe"""
Explanation#0,"""Your task is to explore the caves known as<br>the Cauldron within the crust of Amduskia.<br><br>You are free to search the Cauldron at will.<br><br><br>----------------------------------------<br>You will fail if you lose the final battle."""
Title#1,"""火山洞窟探索"""
Explanation#1,"""惑星アムドゥスキアの地殻に存在する<br>洞窟内の調査が目的となる。<br><br>火山洞窟を各位、自由に探索せよ。<br><br><br><br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""Reach the final area!"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""Completion of certain client requests"""
a2#0,"""Completion of certain client requests"""
a3#0,"""Must have a license to accept Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
