battletrigger_use_check_title#0,"""イエローポータル"""
battletrigger_use_check_message#0,"""持っている「$(0)」が<br>光り輝いている。台座にはめますか？<br><br>※タスク「$(0)」を達成し<br>\u3000台座を起動します。<br>\u3000起動後はクエストが受注可能になります。"""
battletrigger_used_message#0,"""付近の台座が他のアークスにより起動された！"""
CodeKey_w1_r1_1#0,"""パープルポータル：エアリオ"""
CodeKey_w1_r1_3#0,"""イエローポータル：エアリオ"""
CodeKey_w1_r2_1#0,"""パープルポータル：リテム"""
CodeKey_w1_r2_3#0,"""イエローポータル：リテム"""
battletrigger_error1_title#0,"""<オブジェクト名を代入>"""
battletrigger_error2_title#0,"""<オブジェクト名を代入>"""
battletrigger_error_message_CodeKey_w1_r1_1#0,"""バトルトリガーをセットすることで<br>アクセス可能になる特殊な訓練設備。<br><br><yellow>※必要アイテム：<br>\u3000Bトリガー/エアルパープル（×5）<c>"""
battletrigger_error_message_CodeKey_w1_r1_3#0,"""バトルトリガーをセットすることで<br>アクセス可能になる特殊な訓練設備。<br><br><yellow>※必要アイテム：<br>\u3000Bトリガー/エアルイエロー（×5）<c>"""
battletrigger_error_message_CodeKey_w1_r2_1#0,"""バトルトリガーをセットすることで<br>アクセス可能になる特殊な訓練設備。<br><br><yellow>※必要アイテム：<br>\u3000Bトリガー/リテナパープル（×5）<c>"""
battletrigger_error_message_CodeKey_w1_r2_3#0,"""バトルトリガーをセットすることで<br>アクセス可能になる特殊な訓練設備。<br><br><yellow>※必要アイテム：<br>\u3000Bトリガー/リテナイエロー（×5）<c>"""
