name01#0,"""Marlu"""
name01#1,"""マールー"""
11_voice_NPC_5019_100#0,"""Okay, this should do. I think I've seen<br>enough of what you've got."""
text02#0,"""Honestly, I never thought you'd make such<br>a great Wizard. This is totally unexpected."""
text03#0,"""It's nice to have another Wizard I can rely on."""
text04#0,"""Let's go. Once we get back, come see me<br>with your report."""
text05#0,"""Don't forget."""
11_voice_NPC_5019_100#1,"""……うん、これで完了。<br>貴方の力、十分に見せてもらった。"""
text02#1,"""……正直、ここまでのフォースに<br>なるなんて、予想外かも。<br>想像以上の成長。"""
text03#1,"""……心強いフォースの仲間が<br>増えるのは、嬉しいことだと思う。"""
text04#1,"""……それじゃ、一度戻りましょう。<br>帰還したら、私の所まで<br>報告に来てほしい。"""
text05#1,"""……よろしく。"""
