msc_014250_0010#0,"""うおおおおおおっ！！"""
msc_014250_0020#0,"""……くっ！！"""
msc_014250_0030#0,"""うあぁぁぁぁぁーっ！"""
msc_014250_0040#0,"""足を止めれば命はないものと思え！<br>常に相手の攻撃に備えろ！"""
msc_014250_0050#0,"""了解！"""
msc_014250_0060#0,"""うおおおおおおおっ！"""
msc_014250_5010#0,"""はぁぁぁぁーっ！"""
msc_014250_5020#0,"""ふっ！"""
msc_014250_5030#0,"""ふっ！"""
msc_014250_5040#0,"""はっ！"""
msc_014250_5050#0,"""っ！"""
msc_014250_5110#0,"""うがぁぁぁぁ!!"""
msc_014250_5120#0,"""うぉぉぉぉぉ!!"""
msc_014250_5130#0,"""ぐうっ！"""
msc_014250_5140#0,"""はっ！"""
msc_014250_5150#0,"""うぉぉぉぉぉ!!"""
msc_014250_5160#0,"""やっ！"""
msc_014250_5170#0,"""ふあっ！"""
msc_014250_5180#0,"""はぁぁぁぁーっ！"""
msc_014250_5190#0,"""はっ!!どりゃぁ、いっけぇ"""
msc_014250_5200#0,"""うがぁぁぁぁ!!"""
name01#0,"""エアリオ遠征隊レンジャー"""
name02#0,"""エアリオ遠征隊フォース"""
name03#0,"""スティア先遣隊ハンター"""
name04#0,"""スティア先遣隊ファイター"""
