11_voice_NPC_5160_111#0,"""どの項目が聞きたいのかな！"""
text01#0,"""傅莉葉的目的<br>所有的任務都完成了！"""
text02#0,"""傅莉葉的目的<br>所有的任務都完成了！"""
text03#0,"""太好了，嗯！<br>都是托你的福喔！"""
text04#0,"""太好了，嗯！<br>都是托你的福喔！"""
text00#0,"""午安！<br>你是ARKS的成員吧？"""
text01#1,"""『ラッピースロット』について説明します。<br><br>『ラッピースロット』は、1人プレイ専用の<br>カジノゲームとなります。<br><c 00ffff>各リールに描かれた絵柄を揃えることで<br>コインを獲得することができます。<c><br><br>任意の枚数のコインをBETすることで<br>スロットを開始することができ<br>BETしたコイン枚数に応じて、<br>払い戻されるコインが変化します。"""
text00#1,"""嗯，嗯嗯，合格！"""
text01#2,"""ラッピースロットは、1BETすることで<br><c 00ffff>全8ライン<c>が有効ラインとなります。<br><br>有効ライン上に同じ図柄を3つ揃えることで<br>配当を得ることができ、<br>複数ラインに図柄が3つ揃った場合<br>まとめて配当を得られます。"""
text02#1,"""図柄は配当を得られるものに加え<br>一部特殊な図柄が存在します。<br><br><yellow>・ラッピー図柄<c><br>ラッピーメーターを1増加します。<br>\u3000※ラッピーメーターを5つためると、<br>「<c 00ffff>ラッピーPSEチャンス<c>」というチャンスゲームを<br>プレイすることができます。<br><br><yellow>・WILD図柄(ワイルド）<c><br>全ての図柄を担うなんでも図柄<br>\u3000※3つ揃えると「<c 00ffff>ラッピーPSEバースト<c>」という<br>\u3000ボーナスゲームをプレイすることができます。"""
text03#1,"""ラッピー図柄を揃えると<br>ラッピーメーターが貯まります。<br>1ライン揃うごとに1つメーターが増加し<br>これを5つまで貯めると<br>目押しチャンスが発生します。<br><br>ここでWILD図柄を狙って揃えると、<br>「<c 00ffff>ラッピーPSEチャンス<c>」に突入しますが<br>外してしまうとメーターが<br>1つ減少してしまいます。<br><br>よく狙って、タイミングよく<br>WILD図柄を揃えましょう。"""
text04#1,"""「<c 00ffff>ラッピーPSEチャンス<c>」とは、中央のリールが<br>WILD図柄で固定され、<br>さらにWILD図柄が高確率で出現する<br>チャンスゲームです。<br><br>5ゲーム限定のフリースピンで、残り回数が<br>0になると通常のゲームに戻ります。<br><br><red>※ラッピーPSEチャンスに突入すると<br>BETできる枚数は突入した際の<br>BET枚数固定となります。<c>"""
text05#0,"""啊，抱歉抱歉。<br>我的名字叫希。"""
text00#2,"""嗯，嗯嗯，合格！"""
text01#3,"""ラッピースロットでは、ラッピーメーター情報や<br>ラッピーPSEバースト当選回数が情報として<br>確認することができます。<br><br>調子の良い台か、悪い台かを見極め<br>チャンスをつかみましょう！"""
text00#3,"""んー？<br>クロくんって、この前<br>カジノエリアに来てたネコくんかな？"""
text01#4,"""すごくはしゃいでたみたいだけど<br>なんだか入口が騒がしかったかなぁ……"""
text02#2,"""その後すぐにショップエリアに<br>戻っちゃったみたいだから<br>詳しいことはわからないけどね。"""
text03#2,"""……ま、何にせよ<br>せっかくカジノエリアに<br>来てくれたんだし"""
text04#2,"""ラッピースロットも<br>良ければ遊んでみてね！"""
