Kirara_01_10#0,"""ん？\u3000どうしたんだよ？<br>ふーん。パーティー参加希望、なあ……"""
11_voice_NPC_5052_104#0,"""おたくも知ってると思うけど<br>オレほどのアークスになると<br>結構忙しいんだぜ？"""
Kirara_01_30#0,"""それに、そういうのはもっと<br>面倒見のいいヤツがいいと思うぜ！<br>おたくとかな！"""
11_voice_NPC_5052_102#0,"""何がトリックオアトリートだよ。<br>お菓子をあげて、キャッキャウフフ……<br>男はな！\u3000硬派に生きんだよ！"""
sierra_020#0,"""っておたく、いつからいたわけ？<br>え、これ食っていいの？\u3000ラッキー！<br>っておい……この見た目、やばくね？"""
11_voice_NPC_5052_106#0,"""え、女の子が感想を欲しがってる？<br>仕方ねえ……オレも男だ。ままよ……！<br>……ぐはっ、ぶほっ！\u3000い、いってえ！"""
sierra_040#0,"""はぁ……はぁ……これマジすっげーや。<br>頭が強打されたみてえで、目の前に星が<br>チカチカして、口の中は鉄の味だぜ……"""
11_voice_NPC_5052_107#0,"""ま、まだあんのか……ってうめええ！<br>優しい口当たり、この弾ける果実感！<br>マジやべーよ、泣けてきたぜ……"""
11_voice_NPC_5052_106#1,"""你看起來很不可靠耶。<br>你這樣有辦法成為ARKS的隊員麼？"""
11_voice_NPC_5052_102#1,"""你、你還蠻厲害的嘛！<br>如果我把隱藏的力量都發揮出來，<br>那恐怕連您都不是我的對手喔！"""
11_voice_NPC_5052_102#2,"""你、你還蠻厲害的嘛！<br>如果我把隱藏的力量都發揮出來，<br>那恐怕連您都不是我的對手喔！"""
11_voice_NPC_5052_100#0,"""看到厲害的人就應稱讚對方厲害，<br>這是有實力的人的職責之一！"""
11_voice_NPC_5052_100#1,"""看到厲害的人就應稱讚對方厲害，<br>這是有實力的人的職責之一！"""
11_voice_NPC_5052_100#2,"""看到厲害的人就應稱讚對方厲害，<br>這是有實力的人的職責之一！"""
11_voice_NPC_5052_101#0,"""看來最近你的表現<br>真的很不錯耶。<br>你都敢輕鬆的跟我說話了。"""
11_voice_NPC_5052_101#1,"""看來最近你的表現<br>真的很不錯耶。<br>你都敢輕鬆的跟我說話了。"""
11_voice_NPC_5052_101#2,"""看來最近你的表現<br>真的很不錯耶。<br>你都敢輕鬆的跟我說話了。"""
11_voice_NPC_5052_101#3,"""看來最近你的表現<br>真的很不錯耶。<br>你都敢輕鬆的跟我說話了。"""
11_voice_NPC_5052_101#4,"""看來最近你的表現<br>真的很不錯耶。<br>你都敢輕鬆的跟我說話了。"""
11_voice_NPC_5052_101#5,"""如果你對別人說，<br>因為有了我所以才有今天的自己，<br>那我也不會介意喔。"""
11_voice_NPC_5052_101#6,"""如果你對別人說，<br>因為有了我所以才有今天的自己，<br>那我也不會介意喔。"""
11_voice_NPC_5052_101#7,"""如果你對別人說，<br>因為有了我所以才有今天的自己，<br>那我也不會介意喔。"""
11_voice_NPC_5052_101#8,"""どんどん活躍していってるよな。<br>もちろん、オレのおかげだよな？"""
11_voice_NPC_5052_101#9,"""相変わらず活躍しているな！<br>やっぱりオレが見込んだだけはあるぜ！"""
11_voice_NPC_5052_100#3,"""大変だったみてーだな！<br>あんまり、無茶すんなよ！"""
11_voice_NPC_5052_100#4,"""さすがおたくだな！<br>オレが見込んだだけのことはあるぜ！"""
11_voice_NPC_5052_100#5,"""よっ、復帰したみてーだな！<br>ま、おたくのことだから、オレは絶対<br>大丈夫だって思ってたぜ！"""
11_voice_NPC_5052_100#6,"""よっ、またまた忙しそうだな！<br>オレからの依頼も、暇なときに<br>見てくれよ！"""
11_voice_NPC_5052_100#7,"""よっ、またまた忙しそうだな！<br>オレからの依頼も、暇なときに<br>見てくれよ！"""
11_voice_NPC_5052_107#1,"""なんなんだよあの終の女神ってのは！<br>ありゃあちょっとオレでも荷が<br>勝ちすぎちゃってるぜ、マジでマジで！"""
11_voice_NPC_5052_109#0,"""なんなんだよ、あの終の女神ってのは！<br>あれはちょっと、さすがのオレでも荷が<br>勝ちすぎちゃってるぜ、マジでマジで！"""
11_voice_NPC_5052_107#2,"""おいおいマジかよ……<br>マザーシップを捨てるとか<br>めちゃくちゃピンチじゃねーか！"""
11_voice_NPC_5052_105#0,"""どうするよどうするよ！？<br>シャオがいなくなってオレたちだけで<br>なんとかできるのか……？"""
11_voice_NPC_5052_100#8,"""シャオ、戻ってきたんだな！<br>どうなることかと思ったけど<br>マジでよかったぜ……"""
ep6_sq03_02_01_01#0,"""あっちもこっちも<br>てんてこまいで、大変だぜマジで！"""
11_voice_NPC_5052_100#9,"""おたくがなんとかしてくれるよな！？<br>そしたらオレもそれを見て<br>なんとか頑張ってみるからよ！"""
text01#0,"""おう！\u3000おつかれさん！<br>なんとか片付いたみたいだな。"""
11_voice_NPC_5052_101#10,"""まったく、あのシバとの戦いとか<br>ちょっとは心配したけどよ。<br>そんな必要なかったみたいだな。"""
text03#0,"""こうして顔を合わせられるのも<br>おたくの頑張りのおかげだぜ。<br>ありがとな！"""
text01#1,"""おう、どうした？<br>……ああ？\u3000クリスマスプレゼントの<br>お返しはどうすんのか、だって……？"""
11_voice_NPC_5052_105#1,"""おたく、なんでオレに聞きにきたわけ？<br>オレ、そういうのにめっぽう弱いから<br>聞かれても困るっつーか。"""
text03#1,"""そうだなぁ……んじゃ<br>戦闘でも役立つし、酒のアテにもなる<br>「ジャーキー」なんてどうよ？"""
11_voice_NPC_5052_101#11,"""そんなら実用的だし、なにより<br>美味えって喜んでもらえると思うぜ？<br>モテモテになること間違いなしだろ？"""
