un_012090_0001#0,"""？？？"""
un_012090_0010#0,"""......情況如何？<br>哈德烈的蹤跡呢......"""
un_012090_0020#0,"""......唉，還是沒掌握到啊。"""
un_012090_0030#0,"""你的表情說明了一切，<br>不用太介意。<br>我這邊情況也是半斤八兩。"""
un_012090_0040#0,"""......不過，我可不會灰心。<br>除非那個背叛者<br>被我親手解決，否則我一定......！"""
un_012090_0050#0,"""居然辜負我們......<br>辜負了我就不見蹤影。<br>那傢伙......我發誓絕對不饒牠！"""
un_012090_0060#0,"""你問哈德烈為何會背叛？<br>你覺得是不是有苦衷？"""
un_012090_0070#0,"""......嗯！\u3000我哪知道！<br>我根本不知道！<br>因為我當時不在場！"""
un_012090_0080#0,"""但是，背叛就是背叛！<br>我所被告知的，就是<br>哈德烈背叛了......"""
un_012090_0090#0,"""到最後，我居然對牠<br>一無所知！<br>就只是這樣......！"""
un_012090_0100#0,"""A.P.238/4/8"""
un_012090_0001#1,"""？？？"""
un_012090_0010#1,"""……どうですか？<br>ハドレッドの足取りは……"""
un_012090_0020#1,"""……って、つかめていないですよね。"""
un_012090_0030#1,"""顔を見ればわかります。<br>気にしないで下さい。<br>わたしも似たようなものですから。"""
un_012090_0040#1,"""……でも、諦めはしません。<br>あの裏切り者を、この手で<br>始末するまでは、絶対に……！"""
un_012090_0050#1,"""わたしたちを……<br>わたしを裏切り、去っていった<br>あいつは……絶対に許さない！"""
un_012090_0060#1,"""ハドレッドが何故裏切ったのか？<br>理由があったんじゃないか、って？"""
un_012090_0070#1,"""……っ！\u3000知りません！<br>わかりませんよ！<br>わたしはそこにいなかった！"""
un_012090_0080#1,"""裏切り者は、裏切り者なんです！<br>ハドレッドは裏切ったと<br>そう、伝えられたから……"""
un_012090_0090#1,"""結局、わたしはあいつのことなんて<br>何もわかっていなかった！<br>それだけのことなんですよ……！"""
un_012090_0100#1,"""A.P.238/4/8"""
