IncidentName#0,"""$(0)討伐"""
TrialBeginMsg#0,"""$(0)を討伐せよ！"""
TrialAbstract#0,"""$(0)を討伐せよ！"""
NpcComOnBegin#0,"""緊急通達。<br>強力な敵性反応を確認<br>早急な撃破をお願いします。"""
NpcComOnSuccess#0,"""/face2 敵性反応、消失しました<br>各員の努力に感謝します。"""
NpcComOnFailure#0,"""/face4 交戦中の隊員の反応が消失しました。<br>ただちにキャンプシップへの<br>転送を図ります。"""
HP_Under_50#0,"""$(0)残存体力、低下！"""
HP_Under_10#0,"""$(0)残存体力、あとわずかです！"""
NpcComLastEnemy#0,"""残り一体です！"""
NpcComOnBegin#1,"""きっ、緊急通達ですー！<br>強力な敵さんの反応を確認！<br>急いで撃破しちゃってくださーい！"""
NpcComOnSuccess#1,"""/face2 敵さんの反応消失ーっと！<br>みなさん、お疲れ様でしたー！"""
NpcComOnFailure#1,"""/face6 あああー……交戦中のアークス<br>やられちゃいましたぁ……<br>キャンプシップへ転送しますー……"""
HP_Under_50#1,"""$(0)残存体力、低下ですよー！"""
HP_Under_10#1,"""$(0)残存体力、あとわずかですよー！"""
NpcComLastEnemy#1,"""/face2 あと一体！\u3000あと一体！"""
