Title#0,"""Explore the Abandoned Mine"""
Explanation#0,"""หน้าที่ของท่านคือตรวจสอบ Abandoned Mine<br>ซึ่งอยู่ในอีกพื้นที่หนึ่งของ Lilipa<br><br>ขอให้ทำการสำรวจ Abandoned Mine อย่างอิสระ<br><br>------------------------------------<br>เงื่อนไขความล้มเหลว / แพ้ในส่วนที่ลึกที่สุด"""
Title#1,"""採掘場跡探索"""
Explanation#1,"""惑星リリーパの別地域に存在する<br>採掘場跡の調査が目的となる。<br><br>採掘場跡を各位、自由に探索せよ。<br><br><br><br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""เข้าไปให้ถึงส่วนที่ลึกที่สุด!"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
