YesText#0,"""是"""
NoText#0,"""否"""
YesText#1,"""はい"""
NoText#1,"""いいえ"""
EventChronicleTitle1#0,"""事件紀事"""
EventChronicleTitle2#0,"""章節選擇"""
EventChronicleTitle3#0,"""事件紀事情報"""
OccurrenceCondition#0,"""發生條件"""
Condition#0,"""達成狀況"""
PerusalOnly#0,"""已達成只閱覽"""
Clear#0,"""已達成"""
Nonattainment#0,"""未達成"""
SubScenarioText#0,"""(擴充按鈕)顯示次要劇情"""
SubScenarioTextVita#0,"""<pict Sign_TRIANGLE>顯示次要劇情"""
SubScenario#0,"""次要劇情"""
EventNone#0,"""沒有已達成的事件"""
EventChronicleTitle1#1,"""イベントクロニクル"""
EventChronicleTitle2#1,"""エピソード選択"""
EventChronicleTitle3#1,"""イベントクロニクル情報"""
OccurrenceCondition#1,"""発生条件"""
Condition#1,"""達成状況"""
PerusalOnly#1,"""閲覧のみ達成済み"""
Clear#1,"""達成済み"""
Nonattainment#1,"""未達成"""
SubScenarioText#1,"""(拡張ボタン)サブシナリオ表示"""
SubScenarioTextVita#1,"""<pict Sign_TRIANGLE>サブシナリオ表示"""
SubScenario#1,"""サブシナリオ"""
EventNone#1,"""達成したイベントがありません"""
PlayBackTitle#0,"""播放事件"""
PlayBackMessage#0,"""確定要播放選擇的事件嗎？"""
PlaySkipMessage#0,"""略過事件並跳到下一個選項<br>或事件結束的時間點。<br><br>是否要略過？"""
AllClearMessage#0,"""新增了新的章節「(該章的標題)」。<br>請確認EP(EP的編號) 第(章的編號)章。"""
PlayBackTitle#1,"""イベント再生"""
PlayBackMessage#1,"""選択したイベントを再生します。<br>よろしいですか？"""
PlaySkipMessage#1,"""次に表示される選択肢、または終了まで<br>イベントシーンをスキップします。<br><br>よろしいですか？"""
AllClearMessage#1,"""新たな章「(章のタイトル)」が追加されました。<br>EP(EPの番号)\u3000第(章の番号)章をご確認ください。"""
Episode_1#0,"""第1章\u3000主活動"""
Uncommon1#0,"""章節1 次要事件"""
Episode_2#0,"""章節2 主要事件"""
Uncommon2#0,"""章節2 次要事件"""
Episode_1#1,"""エピソード１\u3000メインイベント"""
Uncommon1#1,"""エピソード１\u3000サブイベント"""
Episode_2#1,"""エピソード２\u3000メインイベント"""
Uncommon2#1,"""エピソード２\u3000サブイベント"""
Chapter_0#0,"""序章"""
Chapter_1#0,"""第1章"""
Chapter_2#0,"""第2章"""
Chapter_3#0,"""第3章"""
Chapter_4#0,"""第4章"""
Chapter_5#0,"""第5章"""
Chapter_6#0,"""第6章"""
Chapter_7#0,"""第7章"""
Chapter_8#0,"""第8章"""
Chapter_9#0,"""第9章"""
Chapter_10#0,"""第10章"""
Chapter_EX#0,"""外傳"""
Chapter_EX2#0,"""外傳2"""
Chapter_EX3#0,"""外傳3"""
Chapter_EX4#0,"""外傳4"""
Etc#0,"""其它"""
Zeno#0,"""傑諾"""
Echo#0,"""艾可"""
Afin#0,"""亞方"""
Matoi#0,"""瑪特伊"""
Gettem#0,"""哥德哈特"""
Melfon#0,"""梅爾馮席娜"""
Furie#0,"""芙莉葉"""
Aki#0,"""亞琪"""
Pati#0,"""帕緹＆提雅"""
Maria#0,"""瑪麗亞"""
Sara#0,"""莎拉"""
Philia#0,"""菲莉亞"""
Clotho#0,"""克羅特"""
Ohza#0,"""歐薩"""
Marlu#0,"""瑪露"""
Jan#0,"""強恩"""
Reda#0,"""雷達"""
Risa#0,"""莉莎"""
Klaris#0,"""克拉雷斯"""
Casra#0,"""卡斯拉"""
Huey#0,"""修伊"""
Quna#0,"""庫娜"""
Hien#0,"""希安"""
Right#0,"""萊特"""
Jig#0,"""奇格"""
Ulc#0,"""烏魯古"""
Regius#0,"""雷吉亞斯"""
Azanami#0,"""亞沙納米"""
Io#0,"""伊歐"""
Xiao#0,"""夏歐"""
Chapter_0#1,"""序章"""
Chapter_1#1,"""第１章"""
Chapter_2#1,"""第２章"""
Chapter_3#1,"""第３章"""
Chapter_4#1,"""第４章"""
Chapter_5#1,"""第５章"""
Chapter_6#1,"""第６章"""
Chapter_7#1,"""第７章"""
Chapter_8#1,"""第８章"""
Chapter_9#1,"""第９章"""
Chapter_10#1,"""第１０章"""
Chapter_EX#1,"""外伝"""
Chapter_EX2#1,"""外伝２"""
Chapter_EX3#1,"""外伝３"""
Chapter_EX4#1,"""外伝４"""
Etc#1,"""その他"""
Zeno#1,"""ゼノ"""
Echo#1,"""エコー"""
Afin#1,"""アフィン"""
Matoi#1,"""マトイ"""
Gettem#1,"""ゲッテムハルト"""
Melfon#1,"""メルフォンシーナ"""
Furie#1,"""フーリエ"""
Aki#1,"""アキ"""
Pati#1,"""パティ＆ティア"""
Maria#1,"""マリア"""
Sara#1,"""サラ"""
Philia#1,"""フィリア"""
Clotho#1,"""クロト"""
Ohza#1,"""オーザ"""
Marlu#1,"""マールー"""
Jan#1,"""ジャン"""
Reda#1,"""レダ"""
Risa#1,"""リサ"""
Klaris#1,"""クラリスクレイス"""
Casra#1,"""カスラ"""
Huey#1,"""ヒューイ"""
Quna#1,"""クーナ"""
Hien#1,"""ヒ・エン"""
Right#1,"""ライト"""
Jig#1,"""ジグ"""
Ulc#1,"""ウルク"""
Regius#1,"""レギアス"""
Azanami#1,"""アザナミ"""
Io#1,"""イオ"""
Xiao#1,"""シャオ"""
year_228#0,"""A.P.228"""
year_238#0,"""A.P.238"""
year_239#0,"""A.P.239"""
year_240#0,"""A.P.240"""
day_2_20#0,"""2/20"""
day_2_21#0,"""2/21"""
day_2_22#0,"""2/22"""
day_2_23#0,"""2/23"""
day_2_24#0,"""2/24"""
day_2_25#0,"""2/25"""
day_2_26#0,"""2/26"""
day_2_27#0,"""2/27"""
day_2_28#0,"""2/28"""
day_3_1#0,"""3/1"""
day_3_2#0,"""3/2"""
day_3_3#0,"""3/3"""
day_3_4#0,"""3/4"""
day_3_5#0,"""3/5"""
day_3_6#0,"""3/6"""
day_3_7#0,"""3/7"""
day_3_8#0,"""3/8"""
day_3_9#0,"""3/9"""
day_3_10#0,"""3/10"""
day_3_11#0,"""3/11"""
day_3_12#0,"""3/12"""
day_3_13#0,"""3/13"""
day_3_14#0,"""3/14"""
day_3_15#0,"""3/15"""
day_3_16#0,"""3/16"""
day_3_17#0,"""3/17"""
day_3_18#0,"""3/18"""
day_3_19#0,"""3/19"""
day_3_20#0,"""3/20"""
day_3_21#0,"""3/21"""
day_3_22#0,"""3/22"""
day_3_23#0,"""3/23"""
day_3_24#0,"""3/24"""
day_3_25#0,"""3/25"""
day_3_26#0,"""3/26"""
day_3_27#0,"""3/27"""
day_3_28#0,"""3/28"""
day_3_29#0,"""3/29"""
day_3_30#0,"""3/30"""
day_3_31#0,"""3/31"""
day_4_1#0,"""4/1"""
day_4_2#0,"""4/2"""
day_4_3#0,"""4/3"""
day_4_4#0,"""4/4"""
day_4_5#0,"""4/5"""
day_4_6#0,"""4/6"""
day_4_7#0,"""4/7"""
day_4_8#0,"""4/8"""
day_4_9#0,"""4/9"""
day_4_10#0,"""4/10"""
day_4_11#0,"""4/11"""
day_4_12#0,"""4/12"""
day_4_13#0,"""4/13"""
day_4_14#0,"""4/14"""
day_4_15#0,"""4/15"""
day_4_16#0,"""4/16"""
day_4_17#0,"""4/17"""
day_4_18#0,"""4/18"""
day_4_19#0,"""4/19"""
day_4_20#0,"""4/20"""
day_4_21#0,"""4/21"""
day_4_22#0,"""4/22"""
day_4_23#0,"""4/23"""
day_4_24#0,"""4/24"""
day_4_25#0,"""4/25"""
day_4_26#0,"""4/26"""
day_4_27#0,"""4/27"""
day_4_28#0,"""4/28"""
day_4_29#0,"""4/29"""
day_4_30#0,"""4/30"""
day_5_1#0,"""5/1"""
day_5_2#0,"""5/2"""
day_5_3#0,"""5/3"""
day_5_4#0,"""5/4"""
day_5_5#0,"""5/5"""
day_5_6#0,"""5/6"""
day_5_7#0,"""5/7"""
day_5_8#0,"""5/8"""
day_5_9#0,"""5/9"""
day_5_10#0,"""5/10"""
day_5_11#0,"""5/11"""
day_5_12#0,"""5/12"""
day_5_13#0,"""5/13"""
day_5_14#0,"""5/14"""
day_5_15#0,"""5/15"""
day_5_16#0,"""5/16"""
day_5_17#0,"""5/17"""
day_5_18#0,"""5/18"""
day_5_19#0,"""5/19"""
day_5_20#0,"""5/20"""
day_5_21#0,"""5/21"""
day_5_22#0,"""5/22"""
day_5_23#0,"""5/23"""
day_5_24#0,"""5/24"""
day_5_25#0,"""5/25"""
day_5_26#0,"""5/26"""
day_5_27#0,"""5/27"""
day_5_28#0,"""5/28"""
day_5_29#0,"""5/29"""
day_5_30#0,"""5/30"""
day_6_1#0,"""6/1"""
day_6_2#0,"""6/2"""
day_6_3#0,"""6/3"""
day_6_4#0,"""6/4"""
day_6_5#0,"""6/5"""
day_6_6#0,"""6/6"""
day_6_7#0,"""6/7"""
day_6_8#0,"""6/8"""
day_6_9#0,"""6/9"""
day_6_10#0,"""6/10"""
day_6_11#0,"""6/11"""
day_6_12#0,"""6/12"""
day_6_13#0,"""6/13"""
day_6_14#0,"""6/14"""
day_6_15#0,"""6/15"""
day_6_16#0,"""6/16"""
day_6_17#0,"""6/17"""
day_6_18#0,"""6/18"""
day_6_19#0,"""6/19"""
day_6_20#0,"""6/20"""
day_6_21#0,"""6/21"""
day_6_22#0,"""6/22"""
day_6_23#0,"""6/23"""
day_6_24#0,"""6/24"""
day_6_25#0,"""6/25"""
day_6_26#0,"""6/26"""
day_6_27#0,"""6/27"""
day_6_28#0,"""6/28"""
day_6_29#0,"""6/29"""
day_6_30#0,"""6/30"""
day_7_1#0,"""7/1"""
day_7_2#0,"""7/2"""
day_7_3#0,"""7/3"""
day_7_4#0,"""7/4"""
day_7_5#0,"""7/5"""
day_7_6#0,"""7/6"""
day_7_7#0,"""7/7"""
day_7_8#0,"""7/8"""
day_7_9#0,"""7/9"""
day_7_10#0,"""7/10"""
day_7_11#0,"""7/11"""
day_7_12#0,"""7/12"""
day_7_13#0,"""7/13"""
day_7_14#0,"""7/14"""
day_7_15#0,"""7/15"""
day_7_16#0,"""7/16"""
day_7_17#0,"""7/17"""
day_7_18#0,"""7/18"""
day_7_19#0,"""7/19"""
day_7_20#0,"""7/20"""
day_7_21#0,"""7/21"""
day_7_22#0,"""7/22"""
day_7_23#0,"""7/23"""
day_7_24#0,"""7/24"""
day_7_25#0,"""7/25"""
day_7_26#0,"""7/26"""
day_7_27#0,"""7/27"""
day_7_28#0,"""7/28"""
day_7_29#0,"""7/29"""
day_7_30#0,"""7/30"""
day_8_1#0,"""8/1"""
day_8_2#0,"""8/2"""
day_8_3#0,"""8/3"""
day_8_4#0,"""8/4"""
day_8_5#0,"""8/5"""
day_8_6#0,"""8/6"""
day_8_7#0,"""8/7"""
day_8_8#0,"""8/8"""
day_8_9#0,"""8/9"""
day_8_10#0,"""8/10"""
day_8_11#0,"""8/11"""
day_8_12#0,"""8/12"""
day_8_13#0,"""8/13"""
day_8_14#0,"""8/14"""
day_8_15#0,"""8/15"""
day_8_16#0,"""8/16"""
day_8_17#0,"""8/17"""
day_8_18#0,"""8/18"""
day_8_19#0,"""8/19"""
day_8_20#0,"""8/20"""
day_8_21#0,"""8/21"""
day_8_22#0,"""8/22"""
day_8_23#0,"""8/23"""
day_8_24#0,"""8/24"""
day_8_25#0,"""8/25"""
day_8_26#0,"""8/26"""
day_8_27#0,"""8/27"""
day_8_28#0,"""8/28"""
day_8_29#0,"""8/29"""
day_8_30#0,"""8/30"""
day_8_31#0,"""8/31"""
time_8_00#0,"""8:00"""
time_8_10#0,"""8:10"""
time_8_20#0,"""8:20"""
time_8_30#0,"""8:30"""
time_8_40#0,"""8:40"""
time_8_50#0,"""8:50"""
