name_7443#0,"""マリモ"""
ssn_015460_0001#0,"""普段、なにげなく見ている景色も,<br>見方を変えると印象が変わってきますよねー。"""
ssn_015460_0002#0,"""たとえば、高いところから見下ろしてみたりとか。<br>新しい発見があるかもしれませんよー。"""
ssn_015460_0101#0,"""このあいだは、ありがとうございましたー。<br>いただいたデータを元に、調査を進めてます。"""
ssn_015460_0102#0,"""ベルクマンさんから聞いてたとおり,<br>すごく頼りになりますー。"""
ssn_015460_0103#0,"""ベルクマンさんは、山登りが大好きな,<br>에아리오 のアークスで、わたしはその後輩なんです。"""
ssn_015460_0104#0,"""いろんなところに連れていってもらって,<br>いろんなことを教えてもらいました。"""
ssn_015460_0105#0,"""それで、景色を見るのが好きになって,<br>今は環境調査の任務に就いてます。"""
ssn_015460_0106#0,"""……まあ、それは置いといて。<br>実はまた、行ってきてもらいたい場所があるんですー。"""
ssn_015460_0201#0,"""今回、行ってきてほしいのは,<br>드라이젠 플랜트です。"""
ssn_015460_0202#0,"""指定した場所のデータ를<br>お願いしますー。"""
ssn_015460_0301#0,"""そうですか……。<br>時間ができたら、また声をかけてくださいねー。"""
ssn_015460_1101#0,"""どうもー。"""
ssn_015460_1102#0,"""스티아에서の活動はどうですか？"""
ssn_015460_1103#0,"""わたしのほうは、調査範囲も広がって,<br>毎日が大忙しですー。"""
ssn_015460_1104#0,"""まだまだ調べたい場所もたくさんありますし,<br>もっと頑張らなきゃです。"""
ssn_015460_1105#0,"""よければまた、あなたに<br>手伝ってもらいたいのですが、どうですか？"""
ssn_015460_1201#0,"""今回は메디오라 の외곽 제2구에게<br>溶岩の滝を見てきてもらいたいんです。"""
ssn_015460_1202#0,"""溶岩に落ちたりしないよう에<br>気をつけてくださいねー。"""
ssn_015460_1301#0,"""残念です……。<br>また来てくれるのを待ってますねー。"""
