name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
text01#0,"""Alright, we've made it to Wopal!<br>Wow, that's a dazzling sea!<br>Let's start our intel gathering, Tia!"""
text02#0,"""Tch, you're not Tia!<br>That's right, Tia stayed back!<br>Sorry, it's just such a habit."""
text03#0,"""Tia is relaxing today, so I plan to run<br>the intel gathering for her!<br>Don't tell Tia though!"""
text04#0,"""She's always working so hard.<br>I've got to let her rest sometimes!<br>Look! I'm such a dignified sister!"""
text05#0,"""Anyway, this is your turn as the<br>hidden third character in Pati and Tia!<br>We can't ask anyone else to do this!"""
11_voice_NPC_5013_100#0,"""Come on, let's go! I'm looking forward to doing this mission with you while we're in this situation!"""
text01#1,"""さーて、やってきましたここウォパル！<br>いやー、まぶしい海だねー！<br>それじゃ情報収集開始だよ、ティア！"""
text02#1,"""って、ティアじゃない！<br>そうだティアじゃなかった！<br>ごめんごめん、ついいつものクセで。"""
text03#1,"""今日はティアにゆっくり休んでもらって<br>そのぶんあたしが情報集めに走るという<br>寸法なのさ！　ティアには内緒でね！"""
text04#1,"""いっつも苦労してばっかりだからねー。<br>時にはあの子にも休んでもらわないと<br>ほら！　姉としての！　威厳が！"""
text05#1,"""そこで、第三のパティエンティア<br>隠しキャラたるアナタの出番！<br>他の誰にも頼めないことだよ！"""
11_voice_NPC_5013_100#1,"""さあさあ行こ行こ！<br>そういう事情があるとしても<br>アナタとの任務、楽しみなんだから！"""
