text00#0,"""About [Mining Site Defense Battle]"""
text01#0,"""Mining Site Defense Battle is a quest to defend the <br>site against a heavy attack from D-arker.<br><br>The quest is cleared when an attack is ""waved"" once <br>and there is at least one site remaining after the end of the last ""wave"". """
text02#0,"""During the Mining Site Defense Battle, in the field, <br>by gathering ""positive crystals"", a variety of support <br>functions will be enabled for use. <br><br>Each player can use each function once. <br>(Since no point will be used), use them at critical situation."""
text03#0,"""Effects of Support are as follows:<br><br>- Burst Barrier (use from site terminal)<br>D-arker using attacks of Ice element type that are around the site <br>will turned into frozen state. In addition, it can destroy giant corruption.<br><br>Endurance Point Recovery (use from site terminal)<br>Site's endurance point can be recovered slightly.<br><br>Turret Setup (use from defense socket)<br>Turret is setup in Defense Socket<br><br>Photon Particle Cannon Setup (use from defense socket)<br>Photon Particle Cannon is setup in Defense Socket."""
text04#0,"""D-arker can use ""Giant Corruption"" as weapon to attack site.<br><br>Giant Corruption can cling on to the site and cause regular damage. <br>As damages will become more severe as they grow larger, <br>find them quickly and destroy them."""
text05#0,"""When a warning appears at the start of wave, <br>it means that the D-arker has become stronger. <br>Be aware that it's HP and attack power will also <br>become higher than normal.<br><br>In addition, when the D-arker became stronger, <br>it is possible to gain better wave rewards. """
text06#0,"""In this quest, except a part of Boss Enemies, there are <br><yellow>no<c> items and meseta <yellow>dropped<c> <br>after defeating them.<br><br>Instead, once the quest is cleared, destroy the container that appears and a <br>large number of items will be dropped.<br><br>*However, no order items or paradigm item will be dropped."""
text07#0,"""During the Mining Site Defense Battle, <br>degree of active contributions will be displayed.<br><br>Let's send ""Thumbs-ups"" and invitation as Friends <br>to those players you like and who have been a great help."""
text00#1,"""『採掘基地防衛戦』について"""
text01#1,"""採掘基地防衛戦について説明します。<br><br>採掘基地防衛戦はダーカーの激しい攻撃から<br>拠点を守るクエストです。<br>一回の攻撃を「ウェーブ」といい、<br>最後のウェーブを終えた時、<br>拠点が1つでも残っていれば<br>クエストクリアとなります。<br><br>拠点は複数あるので、<br>声を掛け合ったり援護したりして<br>協力して防衛しましょう。"""
text02#1,"""採掘基地防衛戦中、フィールドで<br>『正結晶』を集める事で<br>様々な支援機能を使用出来ます。<br><br>各機能一人一回ずつ使用することができます。<br>(ポイントは消費しません）<br>ピンチな時やここぞという時に使いましょう。"""
text03#1,"""支援効果は以下の通りです。<br><br>・バーストバリア(拠点端末から使用)<br>拠点の周りに氷属性の攻撃を行いダーカーをフリーズ状態にします。<br>また、巨大侵食核を破壊する事が出来ます。<br><br>・耐久値回復(拠点端末から使用)<br>拠点の耐久値をわずかに回復します。<br><br>・銃座設置(防衛ソケットから使用)<br>防衛ソケットに銃座を設置します。<br><br>・フォトン粒子砲設置(防衛ソケットから使用)<br>防衛ソケットにフォトン粒子砲を設置します。"""
text04#1,"""ダーカーは拠点を攻撃する兵器<br>「巨大侵食核」を使用する場合があります。<br><br>巨大侵食核は拠点にまとわりつき<br>定期的にダメージを与えます。<br>成長する度にダメージが大きくなっていくため<br>見つけたら素早く破壊するようにしましょう。"""
text05#1,"""ウェーブ開始時に警告が出た場合、<br>ダーカーが強化されています。<br>HPや攻撃力が普段より<br>高くなっているので注意しましょう。<br><br>また、ダーカーが強化されている時は<br>普段より良いウェーブ報酬が<br>手に入る可能性があります。"""
text06#1,"""このクエストでは<br>一部のボスエネミーを除き、撃破しても<br>アイテムやメセタを<yellow>ドロップしません。<c><br><br>その代わり、クエストクリア時に出現する<br>コンテナを破壊した時に、大量のアイテムが<br>ドロップするようになっています。<br><br>※ただし、オーダーアイテムおよび<br>　マターアイテムはドロップしません。"""
text07#1,"""採掘基地防衛戦では<br>活躍に応じて貢献度が表示されます。<br><br>活躍した人や気に入った人にグッジョブや<br>フレンド申請を送ってみましょう。"""
