skit01_01#0,"""あ、見つけたわよ！\u3000守護輝士！<br>こら！\u3000知らないふりすんな！"""
skit01_02#0,"""元マザー・クラスタ、今は<br>天星学院数学教師・オークゥ＝ミラー。<br>よもや忘れてないでしょうね！？"""
skit01_03#0,"""それより、頼みたいことがあるの。<br>あんたにしかお願いできないこと。<br>２００％聞いてもらえるわよね？"""
skit02_01#0,"""ちょっとー！<br>こんな所うろうろしてないで<br>依頼、さっさとやってよね！"""
skit02_02#0,"""ここだとアウェイ感ハンパないし<br>あんたしか頼れるヤツいないんだから。"""
skit02_03#0,"""ほら、わかったらさっさと行く！"""
skit03_01#0,"""な、なによ……<br>あんまりジロジロ見ないでくれる？<br>この服、恥ずかしいんだから……"""
skit03_02#0,"""あーあ、フルの口車に<br>うまく乗せられちゃったなー。<br>面倒くさいったら、もう……"""
skit04_01#0,"""バレンタインねえ……<br>オラクルってもっとお堅いかと思ったら<br>結構ミーハーなのね。"""
skit04_02#0,"""あれ、もしかしてあんたも<br>あたしたちからチョコ欲しいなー、とか<br>思ってたりするわけ？"""
skit04_03#0,"""……ま、あんたの態度次第じゃない？<br>ほら、さっさと行く！"""
skit05_01#0,"""なんだかんだで<br>手伝ってくれてありがとね。<br>助かったわよ。"""
skit05_02#0,"""さて、あとは最後の大仕事……<br>でもシミュレーションでは勝率０％だし。<br>あーもう、どうすれば……"""
skit05_03#0,"""……なにニヤニヤしてるのよ！？<br>べっ、別に緊張なんてしてないし！"""
skit05_04#0,"""いいから、もうあっち行きなさい！<br>シッシッ……！"""
