Title#0,"""白色情人節的騷動"""
Explanation#0,"""嗨～，這次的委託不是來自ARKS總部<br>這次由我來進行報告！<br>在安杜斯奇亞行星的浮游大陸<br>有非常可愛的拉比群體<br>大量出現！<br>牠們拿著的花朵<br>在女孩子間非常受歡迎！\u3000你看男孩子們<br>為了取得花朵紛紛往當地出發了！<br>――――――――――――――――――――<br>失敗條件/超過限制時間"""
Title#1,"""ホワイトデーは大わらわ"""
Explanation#1,"""はいはーい、この依頼もアークスではなく<br>シーおねえさんからお伝えしちゃいますっ！<br>惑星アムドゥスキアの浮遊大陸で<br>とってもキュートなラッピーの群れが<br>ばんばん確認されてるんだってっ！<br>あの子が持ってる花なんか<br>女の子たちに大人気！\u3000ほら、男の子たちが<br>それを求めてどんどん出撃してるよーっ！<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""獲得白色情人節Pt！"""
SimpleExplanation#1,"""ホワイトデーPtをためろ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
