un_025100_0001#0,"""A.P.228/7/19"""
un_025100_0010#0,"""是說莉莎的感覺喲？<br>最近，對於敵我雙方的<br>識別性越來越模糊了呢。"""
un_025100_0020#0,"""是說莉莎的感覺喲？<br>最近，對於敵我雙方的<br>識別性越來越模糊了呢。"""
un_025100_0030#0,"""是說莉莎的感覺喲？<br>最近，對於敵我雙方的<br>識別性越來越模糊了呢。"""
un_025100_0040#0,"""是說莉莎的感覺喲？<br>最近，對於敵我雙方的<br>識別性越來越模糊了呢。"""
un_025100_0050#0,"""是說莉莎的感覺喲？<br>最近，對於敵我雙方的<br>識別性越來越模糊了呢。"""
un_025100_0060#0,"""是說莉莎的感覺喲？<br>最近，對於敵我雙方的<br>識別性越來越模糊了呢。"""
un_025100_0070#0,"""是說莉莎的感覺喲？<br>最近，對於敵我雙方的<br>識別性越來越模糊了呢。"""
un_025100_0080#0,"""是說莉莎的感覺喲？<br>最近，對於敵我雙方的<br>識別性越來越模糊了呢。"""
un_025100_0090#0,"""是說莉莎的感覺喲？<br>最近，對於敵我雙方的<br>識別性越來越模糊了呢。"""
un_025100_0100#0,"""是說莉莎的感覺喲？<br>最近，對於敵我雙方的<br>識別性越來越模糊了呢。"""
un_025100_0110#0,"""是說莉莎的感覺喲？<br>最近，對於敵我雙方的<br>識別性越來越模糊了呢。"""
un_025100_0001#1,"""A.P.228/7/19"""
un_025100_0010#1,"""師匠、師匠ーっ！"""
un_025100_0020#1,"""はあっ、はあっ……<br>やっと見つけたぜ師匠。"""
un_025100_0030#1,"""前に言っただろ。<br>強いアークスになるための心構え<br>聞かせてくれよ！"""
un_025100_0040#1,"""たとえば、師匠が自分の先輩に<br>どんなことを教わった、とか！<br>いろいろ聞きたいことは山盛りだ！"""
un_025100_0050#1,"""後輩を助けるのが先輩のつとめ？<br>それ、師匠の先輩が言ってたのか。"""
un_025100_0060#1,"""師匠の先輩って言いにくいな……<br>面倒だから、師匠が言ってたって<br>ことでいいや。"""
un_025100_0070#1,"""それにしても、やっぱ師匠は<br>いろんなこと知ってるよなー。<br>やっぱ、現場は違うってことだな。"""
un_025100_0080#1,"""今はダーカーの攻勢が強いからさ<br>どうやって効率よく撃退するとか<br>そういう話ばっかなんだよ。"""
un_025100_0090#1,"""後輩のため、どころか<br>まず人のためって発想がない。"""
un_025100_0100#1,"""みんな、自分のことで<br>手一杯って感じで、周りにまで<br>目がいってないんだろうなあ。"""
un_025100_0110#1,"""……って、やべっ！<br>研修すっぽかしてきてたんだ！<br>師匠、またな！"""
