msc_020170_0010#0,"""ふう……。"""
msc_020170_0020#0,"""終わった……。"""
msc_020170_0030#0,"""そうだ！\u3000助けなきゃ！"""
msc_020170_0040#0,"""ええと……。<br>どうやってあけるんだっけ？"""
msc_020170_0050#0,"""大丈夫？\u3000なかのヒト？"""
msc_020170_0060#0,"""あっ……そうだ、これ……。<br>んっ……んんん……！"""
msc_020170_0070#0,"""開いた！<br>ねえ、大丈夫？\u3000動ける？"""
msc_020170_0080#0,"""大変！\u3000ケガしてる。"""
msc_020170_0090#0,"""うぅ……。<br>マノン……を。"""
msc_020170_0100#0,"""マノン!?"""
msc_020170_0110#0,"""マノンのことを知っているの!?"""
msc_020170_0120#0,"""ねぇ!?"""
msc_020170_0130#0,"""落ち着くのだアイナ。"""
msc_020170_0140#0,"""ご、ごめんなさい。"""
msc_020170_0150#0,"""……マノンが、いなくなったの。"""
msc_020170_0160#0,"""マノンが？\u3000どういうことだ？"""
msc_020170_0170#0,"""クロフォードは、<br>あそこに行ったんじゃないかって。"""
msc_020170_0180#0,"""あの浮島……ルシエルに。"""
msc_020170_0190#0,"""なっ……？"""
msc_020170_0200#0,"""だから、あたしたちは、<br>あそこに行く方法を見つけないといけないの。"""
msc_020170_0210#0,"""……すまない。話が見えない。"""
msc_020170_0220#0,"""詳しくは、クロフォードからも聞くとしよう。"""
msc_020170_0230#0,"""まずは、あの少女を移送せねば。"""
msc_020170_0240#0,"""我々の医療施設よりも、<br>セントラルシティのメディカルセンターに送ったほうがよかろう。"""
msc_020170_0250#0,"""ブルーダー、頼めるか？"""
msc_020170_0260#0,"""了解した。"""
msc_020170_0270#0,"""マノンの身になにが起きたのかは、<br>わからんが……。"""
msc_020170_0280#0,"""……これまでずっと、立ち止まったままだった私が、<br>再び歩みだせたのはお前たちのおかげだ。"""
msc_020170_0290#0,"""そして、そのきっかけを与えてくれたのは、<br>あのマノンに他ならない。"""
msc_020170_0300#0,"""彼女は私の恩人だ。"""
msc_020170_0310#0,"""私の心は、常にお前たちと共にある。"""
msc_020170_0320#0,"""困難に直面しているのであれば、<br>我々リテムアークスは、いつでも力を貸そう。"""
msc_020170_0330#0,"""うん、ありがとう！\u3000みんな。"""
msc_020170_0335#0,"""うん、ありがとう！\u3000ナーデレフ。"""
msc_020170_0340#0,"""搬送の準備ができた。セントラルに戻るぞ。"""
msc_020170_0350#0,"""わかった。"""
msc_020170_0360#0,"""こちらも、今は突然の襲撃に混乱しているが……。"""
msc_020170_0370#0,"""すぐに建て直し、<br>そちらの状況を確認させてもらう。"""
msc_020170_0380#0,"""戦いがあるならば、手勢を送る。"""
msc_020170_0390#0,"""ありがとう。<br>すごく心強いよ。"""
name01#0,"""？？？"""
