st_057140_0010#0,"""守護輝士の活躍により<br>【双子】の影響は断ち切ったが<br>イス＝アルス内の魔物は消えていなかった。"""
st_057140_0020#0,"""たびたび起こる国境線での戦いに<br>クエント国王ハリエットは陣頭指揮をとり<br>迫る魔物を食い止めていた。"""
st_057140_0030#0,"""守護輝士もまた、最前線にて奮闘。<br>しかしその胸中には、一抹の不安があった。"""
st_057140_0040#0,"""ダークファルス【双子】の<br>類似反応、ほとんど消失……<br>これで終わったんでしょうか。"""
st_057140_0050#0,"""そうは思えない"""
st_057140_0060#0,"""諸悪の根源が残っている"""
st_057140_0070#0,"""……そうですよね。<br>【深遠なる闇】も、エルミルも<br>残っているんですもんね。"""
st_057140_0080#0,"""特にエルミル。<br>いくらなんでも神出鬼没がすぎます。<br>彼は、一体どこに……"""
st_057140_0090#0,"""じ、地震！？<br>いったい何が……！"""
st_057140_0100#0,"""何ですか……あれは……！<br>あそこ、ハリエットさんたちの<br>本陣があるあたりですよ！？"""
st_057140_0110#0,"""ハリエット……！"""
st_057140_0120#0,"""いったい、何が……！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
