un_013190_0001#0,"""A.P.238/4/8"""
un_013190_0010#0,"""午安！<br>突然來個閃電發問！<br>你會不會參加戰技大會？"""
un_013190_0020#0,"""會吧，你會吧？<br>嗯，對啦，參加吧參加吧！<br>好，講定了！"""
un_013190_0030#0,"""然後呢，戰技大會上<br>規定必須要組隊<br>才能夠參加吧！"""
un_013190_0040#0,"""好，馬上是第二道問題！<br>你決定好和誰組隊了嗎？<br>還沒對吧？\u3000沒錯吧！"""
un_013190_0050#0,"""那好，給你一個明顯的提示！<br>現在在你的面前，<br>竟然剛好有尚未組隊的ARKS！"""
un_013190_0060#0,"""那是誰呀？\u3000到底是誰呢？"""
un_013190_0070#0,"""那一定就是我啦。<br>如果願意邀請，我一定答應。"""
un_013190_0080#0,"""等等，不對不對不對！<br>怎麼可以忽視人家只邀請提雅，<br>不行不行，哪有這回事！"""
un_013190_0090#0,"""再怎麼說，<br>人家和提雅兩個人一起<br>才是「帕緹與提雅」啊！"""
un_013190_0100#0,"""那又是誰把我丟在一邊<br>就自己開口邀請人啊？"""
un_013190_0110#0,"""因、因為啊因為啊，<br>戰技大會好像很有趣嘛！"""
un_013190_0120#0,"""本來以為是很硬派的活動<br>就想參不參加都無所謂，<br>但是感覺不像那樣耶！"""
un_013190_0130#0,"""...唉。<br>於是帕緹她就想<br>參加戰技大會了。"""
un_013190_0140#0,"""現在參加就可以得到<br>提雅我的同行與協助呢。<br>如果願意邀請我，我會很高興的。"""
un_013190_0150#0,"""邀請人家，邀請人家啦。<br>如果不來邀請的話<br>我就咒你喔......"""
un_013190_0160#0,"""別理這個呆瓜的胡言亂語，<br>有興趣再來找我們<br>就可以了。"""
un_013190_0001#1,"""A.P.238/4/8"""
un_013190_0010#1,"""こんにちはっ！<br>突然ですがいきなり質問です！<br>あなたは戦技大会に参加する？"""
un_013190_0020#1,"""するよね、するでしょ？<br>うんそうだ、しようしよう！<br>はい決定！"""
un_013190_0030#1,"""そんでもって、戦技大会って<br>ルール上パーティーを組んでの<br>参加が必須なんだよねー！"""
un_013190_0040#1,"""はい、そこで第二の質問！<br>あなた、誰か組む相手決めてる？<br>決めてないよね？\u3000そうでしょ！"""
un_013190_0050#1,"""よーしここでとびきりのヒントだ！<br>なんと、今、あなたの目の前に<br>たまたま空いてるアークスがいます！"""
un_013190_0060#1,"""誰かなー？\u3000誰だろうねー？"""
un_013190_0070#1,"""それはきっと私のことね。<br>誘ってもらえるなら、喜んで。"""
un_013190_0080#1,"""ちょっ、違っ、違う違う！<br>あたし無視してティアだけ誘うとか<br>ダメダメ、ありえない！"""
un_013190_0090#1,"""なんてったって<br>あたしとティアは二人揃っての<br>パティエンティア、なんだから！"""
un_013190_0100#1,"""そのわりに私を置いて<br>一人勧誘を始めてたのは誰ー？"""
un_013190_0110#1,"""だ、だってだって<br>戦技大会、面白そうなんだもん！"""
un_013190_0120#1,"""堅苦しい催しだと考えてたから<br>どーでもいいやって思ってたのに<br>なんか、そんな感じじゃないし！"""
un_013190_0130#1,"""……はぁ。<br>ということで、パティちゃんは<br>戦技大会に参加したいんだって。"""
un_013190_0140#1,"""今ならもれなく私ことティアも<br>一緒にくっついて協力するから<br>誘ってもらえると、嬉しいかも。"""
un_013190_0150#1,"""誘ってねー、誘ってよー。<br>誘ってくれなきゃ<br>呪っちゃうぞー……"""
un_013190_0160#1,"""このバカの戯れ言は気にせずに<br>気が向いたら誘うぐらいの<br>考えでいいからね。"""
