IncidentName#0,"""障壁解除"""
LogPickupKey#0,"""$(0)が$(1)番の情報キーを拾いました。"""
TrialBeginMsg#0,"""障壁を開放するため、情報キーを収集せよ！"""
TrialAbstract#0,"""$(0)個、鍵を集めて障壁を解除せよ！"""
NpcComOnBegin#0,"""障壁の起動を確認しました！<br>開放には情報キーが必要です。<br>掃討しつつ、キーを集めてください！"""
NpcComOnSuccess#0,"""/face2 障壁の開放を確認！<br>アークス各員の努力に感謝します！"""
NpcComOnFailure#0,"""障壁の開放失敗を確認。<br>残存のアークス各員は<br>周囲の警戒をお願いします。"""
NpcComOnDispKey#0,"""殲滅により情報キーの出現を確認！<br>確保に努めてください！"""
NpcComOnCollected#0,"""情報キーの結集を確認！<br>障壁が開放可能となりました！"""
NpcComOnBegin#1,"""ちっ、障壁が起動したか……<br>開放には情報キーが必要だ。<br>急いで収集しろ。"""
NpcComOnSuccess#1,"""障壁の開放を確認した。<br>よくやった。"""
NpcComOnFailure#1,"""/face6 ……開放失敗だな。<br>仕方がない、通常任務に戻れ。"""
NpcComOnDispKey#1,"""よし、情報キーが出現したようだ。<br>回収してくるといい。"""
NpcComOnCollected#1,"""情報キーが集まったようだな。<br>障壁を開放できるぞ。"""
NpcComOnBegin#2,"""わわっ、障壁が起動しちゃいました！<br>開放には情報キーの収集が<br>必要なんですー！"""
NpcComOnSuccess#2,"""/face2 障壁、開放されましたー！<br>おつかれさまでしたー！"""
NpcComOnFailure#2,"""/face4 開放失敗ですぅー……<br>しょうがありません、通常の<br>任務に戻りましょうー……"""
NpcComOnDispKey#2,"""情報キー、出現したようですー！<br>回収しちゃって下さいー！"""
NpcComOnCollected#2,"""情報キー収集完了ですー！<br>障壁、開放できますよー！"""
