name_7237#0,"""레소"""
ssn_014951_0101#0,"""フフフ……, <br>テストを受けてくれるんですね."""
ssn_014951_0102#0,"""強い아크스のもとに, より良い物資を…….<br>選択と集中というものですね."""
ssn_014951_0103#0,"""不公平……と思われるかもしれませんが, <br>限られた物資の分配は難しいんです……."""
ssn_014951_0104#0,"""それと……, 私は自分で戦うのが苦手なせいか, <br>強い아크스に, とても憧れていまして……."""
ssn_014951_0105#0,"""そんな方々のために, <br>陰ながら貢献できたらと思っています……."""
ssn_014951_0106#0,"""では, さっそくですが, 북부 크바리스で<br>“크로코다라스”を討伐してきていただけますか."""
ssn_014951_0106_001#0,"""では, さっそくですが, <br>“크로코다라스”を討伐してきていただけますか."""
ssn_014951_0107#0,"""크로코다라스……とても身体が大きいんですよ…….<br>いかにも強そうなお相手です."""
ssn_014951_0108#0,"""あなたがあの에너미をどのように倒すのか, <br>しっかりと見届けさせていただきます."""
ssn_014951_0108_001#0,"""主に, 베르가나 유적で目撃例があるようです……."""
ssn_014951_0109#0,"""頑張ってくださいね……."""
