ar_or010300#0,"""No.1<br>ジャンのクライアントオーダー<br>「必見！アイテム管理法！」の達成"""
ar_or010301#0,"""No.2<br>ジャンのクライアントオーダー<br>「必読！ビジフォン利用法！」の達成"""
ar_or010302#0,"""No.3<br>ジャンのクライアントオーダー<br>「便利！オートワード活用法！」の達成"""
ar_or010303#0,"""No.4<br>ジャンのクライアントオーダー<br>「垂涎！ACショップの陳列！」の達成"""
ar_or010304#0,"""No.5<br>ジャンのクライアントオーダー<br>「グッジョブの送信方法！」の達成"""
ar_or010305#0,"""No.6<br>ジャンのクライアントオーダー<br>「FUNスクラッチの利用方法！」の達成"""
ar_or010306#0,"""No.7<br>ジャンのクライアントオーダー<br>「アークスカードの編集方法！」の達成"""
ar_or010300#1,"""必見！アイテム管理法！"""
ar_or010301#1,"""必読！ビジフォン利用法！"""
ar_or010302#1,"""便利！オートワード活用法！"""
ar_or010303#1,"""垂涎！ACショップの陳列！"""
ar_or010304#1,"""グッジョブの送信方法！"""
ar_or010305#1,"""FUNスクラッチの利用方法！"""
ar_or010306#1,"""アークスカードの編集方法！"""
