un_012150_0010#0,"""<%me>閣下。<br>午安你好。<br>有事找我嗎？"""
un_012150_0020#0,"""你要問我和哈德烈......的關係嗎。<br>為什麼你會感興趣？"""
un_012150_0030#0,"""這麼愛問，小心會因而<br>害得你身敗名裂呢。<br>......唉，算了。說給你聽吧。"""
un_012150_0040#0,"""......哈德烈和我<br>曾經一起執行任務。"""
un_012150_0050#0,"""也就是說，<br>哈德烈曾經也是ARKS，<br>就是這樣。"""
un_012150_0060#0,"""龍族會是ARKS？"""
un_012150_0070#0,"""哈德烈是什麼人？"""
un_012150_0080#0,"""對我來說他很平常，<br>並不會有什麼疏離感......<br>倒是沒看過其他的例子。"""
un_012150_0090#0,"""不過，哈德烈應該是<br>從幼生體就待在ARKS了。<br>因為他一直和我在一起。"""
un_012150_0100#0,"""他是什麼人......<br>你所看到的就是答案了。"""
un_012150_0110#0,"""他是從小和我一起長大的龍。<br>這就是我所知道<br>有關哈德烈的一切。"""
un_012150_0120#0,"""哈德烈不會說話。<br>所以，雖然時常在一起，<br>但我不知道他心裡面的想法。"""
un_012150_0130#0,"""也不知道他背叛的理由。<br>我什麼都不知道。"""
un_012150_0140#0,"""對他來說<br>我究竟算是什麼呢。<br>我連這都不知道。"""
un_012150_0150#0,"""A.P.238/4/19"""
un_012150_0010#1,"""<%me>さん。<br>どうもこんにちは。<br>わたしに話でもあるんですか？"""
un_012150_0020#1,"""ハドレッドとの関係……ですか。<br>どうしてそんなことに興味を？"""
un_012150_0030#1,"""その詮索癖は、いずれあなた自身の<br>身を滅ぼすかもしれませんよ。<br>……まあ、いいです。話しましょう。"""
un_012150_0040#1,"""……ハドレッドとわたしは<br>共に任務に従事していました。"""
un_012150_0050#1,"""つまり、もともとは<br>ハドレッドもアークスにいたと<br>いうことになりますね。"""
un_012150_0060#1,"""龍族がアークスに？"""
un_012150_0070#1,"""ハドレッドは何者？"""
un_012150_0080#1,"""わたしにはそれが普通でしたから<br>違和感はとくになかったのですが……<br>他には見られませんね。"""
un_012150_0090#1,"""でも、ハドレッドは幼生体のころから<br>アークスにいたはずです。<br>ずっとわたしと一緒でしたから。"""
un_012150_0100#1,"""何者と言われても……<br>見たままの姿が答えです。"""
un_012150_0110#1,"""幼いころからわたしと共に育った龍。<br>それがわたしの知っている<br>ハドレッドの全てです。"""
un_012150_0120#1,"""ハドレッドは喋りません。<br>だから、ずっと一緒でしたが<br>わたしにもその心中はわかりません。"""
un_012150_0130#1,"""裏切った理由もわかりません。<br>なにもわからないんです。"""
un_012150_0140#1,"""あいつにとって<br>わたしは一体なんだったのか。<br>それすら、わかりません。"""
un_012150_0150#1,"""A.P.238/4/19"""
