un_012310_0005#0,"""【您要的委託情報來了！】<br>暫用文字"""
un_012310_0010#0,"""嗨嗨嗨，讓你久等了！<br>帕緹小姐是也！"""
un_012310_0020#0,"""你好，我是提雅。"""
un_012310_0030#0,"""連殺手都沒在怕的包打聽，<br>為你帶來最新的情報！"""
un_012310_0040#0,"""聽說啊，研究部那邊在進行的<br>是後天性附加光子驅使能力的研究<br>以及達卡的研究呢！"""
un_012310_0050#0,"""光子驅使也就算了，<br>研究達卡這方面<br>讓人覺得很可疑耶！"""
un_012310_0060#0,"""而事故的發生原因，<br>據說是研究中出了差錯！<br>研究中，這個字眼很要緊！"""
un_012310_0070#0,"""不過，拿不到更詳細的情報！<br>雖然很想知道出差錯的內容啦！"""
un_012310_0080#0,"""本來以為收集情報<br>會很費工夫，<br>沒想到查一下就出來了。"""
un_012310_0090#0,"""總覺得有點白努力，<br>甚至有種意圖洩漏的感覺呢。"""
un_012310_0100#0,"""唔，天曉得呢。<br>不需要想得<br>那麼深吧。"""
un_012310_0110#0,"""若是全部保密的話，<br>這次的差錯<br>就沒有人可以收拾。"""
un_012310_0120#0,"""很想收拾這次的差錯！<br>但是又不想講太詳細！<br>何況說謊之後更麻煩！"""
un_012310_0130#0,"""所以說，各方妥協之下<br>所訂出的情報量，就是剛剛那些。<br>情況大概是這樣沒錯吧？"""
un_012310_0140#0,"""......帕緹，妳是怎麼了？<br>怎麼腦筋變得這麼靈活？"""
un_012310_0150#0,"""嘿嘿嘿......因為這是我們<br>引以為傲的情報啊。<br>自然很有幹勁囉！"""
un_012310_0160#0,"""......不管如何，<br>我們能調查到的就到這邊。"""
un_012310_0170#0,"""而下結論的，可是你哦！"""
un_012310_0005#1,"""【依頼情報へいおまち！】<br>仮テキスト"""
un_012310_0010#1,"""はいはいお待たせしましたー！<br>パティちゃんですよー！"""
un_012310_0020#1,"""どうも、ティアです。"""
un_012310_0030#1,"""始末屋も恐れぬ、情報屋からの<br>最新情報、お届けするよー！"""
un_012310_0040#1,"""なんかねー、研究部でやってたのは<br>後天的なフォトン行使力の付与研究とか<br>ダーカーの研究だったみたい！"""
un_012310_0050#1,"""フォトン行使のほうはともかく<br>ダーカーの研究ってほうは<br>なんだかきなくさいよねー！"""
un_012310_0060#1,"""んで、事故の原因は研究中の<br>トラブルなんだってー！<br>研究中ってところがミソだね！"""
un_012310_0070#1,"""でも、それ以上の情報はなーし！<br>トラブルの中身が知りたいのにー！"""
un_012310_0080#1,"""もっと情報収集に手間取るかと<br>思っていたんだけど<br>叩いたらすぐ出てきちゃった。"""
un_012310_0090#1,"""なんとも肩すかしというか<br>意図的に漏らされている気がする。"""
un_012310_0100#1,"""んー、どうだろう。<br>そんなに深く考えなくて<br>いいんじゃないかなー。"""
un_012310_0110#1,"""ぜーんぶ秘密にしちゃうと<br>トラブルの後始末もできなく<br>なっちゃうだろうしさ。"""
un_012310_0120#1,"""トラブルの後始末はしたい！<br>でも、詳細は言いたくない！<br>ウソを言ったらもっと面倒！"""
un_012310_0130#1,"""だから、そういう妥協の末に<br>決められた情報量が、今のもの。<br>こんなとこじゃないかなー？"""
un_012310_0140#1,"""……どうしたの、パティちゃん。<br>なんかひらめきが冴えてない？"""
un_012310_0150#1,"""へへへ……あたしたちを<br>頼りにしてもらった情報だからね。<br>頑張りたくもなるでしょ！"""
un_012310_0160#1,"""……ともあれ、私達に<br>調べられたのはここまで。"""
un_012310_0170#1,"""結論を出すのは、あなただよ！"""
